Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,89,6,0,0,0,0,0,2,0,24,3,29.7,30/01/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,5,7,2,0,0,0,0,0,26,14,6.4,30/01/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,7,1,0,2,1,1,1,1,17,8,11.3,30/01/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,2,6,0,0,0,0,0,0,21,9,10.0,30/01/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,6,1,0,0,0,0,0,0,29,17,5.3,30/01/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,7,6,0,2,0,0,0,0,10,10,9.0,30/01/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,5,10,0,2,0,0,0,1,27,15,6.0,30/01/2021
"Nakamba  Marvelous Nakamba (Aston Villa, Midfielder)",AVL,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,30/01/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,4,8,1,2,0,0,0,1,11,11,8.2,30/01/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,1,4,1,0,0,0,1,0,21,9,10.0,30/01/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,90,3,1,0,0,0,0,1,0,1,1,90.0,30/01/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,2,3,0,0,0,0,0,1,-3,-3,0.0,30/01/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,25,1,1,0,0,0,0,1,1,-3,-3,0.0,30/01/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,90,3,1,1,4,0,0,2,3,8,8,11.3,30/01/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,8,5,0,6,0,0,0,1,14,14,6.4,30/01/2021
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,90,1,3,1,4,1,0,0,0,13,13,6.9,30/01/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,59,5,0,0,4,0,0,2,1,10,10,5.9,30/01/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,31,2,1,0,0,0,0,0,1,-3,-3,0.0,30/01/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,90,1,0,0,0,0,2,2,1,11,11,8.2,30/01/2021
"Jankewitz  Alexandre Jankewitz (Southampton, Midfielder)",SOU,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,30/01/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,90,9,0,0,0,0,0,0,0,15,15,6.0,30/01/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,90,1,0,0,4,0,0,2,0,6,6,15.0,30/01/2021
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,89,11,4,0,2,0,0,0,3,12,12,7.4,30/01/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,90,3,3,1,4,0,0,0,0,11,11,8.2,30/01/2021
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,65,0,0,0,0,0,0,0,0,-2,-2,0.0,30/01/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,9,2,2,4,0,0,3,1,17,17,5.3,30/01/2021
