Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,0,0.02,-0.02,4450.0,1,0.29,0.71,306.9,0.31,0.69,287.1,30/01/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,1,0.14,0.86,642.9,0,0.0,0.0,inf,0.14,0.86,642.9,30/01/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,30/01/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Nakamba  Marvelous Nakamba (Aston Villa, Midfielder)",AVL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,0,0.01,-0.01,9000.0,0,0.02,-0.02,4500.0,0.03,-0.03,3000.0,30/01/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,30/01/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,0,0.04,-0.04,2250.0,0,0.06,-0.06,1500.0,0.1,-0.1,900.0,30/01/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,0,0.03,-0.03,3000.0,0,0.24,-0.24,375.0,0.27,-0.27,333.3,30/01/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.05,-0.05,500.0,0,0.61,-0.61,41.0,0.66,-0.66,37.9,30/01/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,0,0.09,-0.09,1000.0,0,0.51,-0.51,176.5,0.6,-0.6,150.0,30/01/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.09,-0.09,1000.0,0.09,-0.09,1000.0,30/01/2021
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,0,0.25,-0.25,360.0,0,0.12,-0.12,750.0,0.37,-0.37,243.2,30/01/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,0.07,-0.07,842.9,0,0.0,0.0,inf,0.07,-0.07,842.9,30/01/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,0,0.01,-0.01,3100.0,0,0.06,-0.06,516.7,0.07,-0.07,442.9,30/01/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.44,-0.44,204.5,0,0.06,-0.06,1500.0,0.5,-0.5,180.0,30/01/2021
"Jankewitz  Alexandre Jankewitz (Southampton, Midfielder)",SOU,4.5,0,0.03,-0.03,33.3,0,0.0,0.0,inf,0.03,-0.03,33.3,30/01/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/01/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,0,0.04,-0.04,2250.0,0,0.19,-0.19,473.7,0.23,-0.23,391.3,30/01/2021
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,0,0.06,-0.06,1483.3,0,0.07,-0.07,1271.4,0.13,-0.13,684.6,30/01/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.01,-0.01,9000.0,0,0.18,-0.18,500.0,0.19,-0.19,473.7,30/01/2021
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,0,0.01,-0.01,6500.0,0,0.0,0.0,inf,0.01,-0.01,6500.0,30/01/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.25,-0.25,360.0,0,0.11,-0.11,818.2,0.36,-0.36,250.0,30/01/2021
