Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,MID,False
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,DEF,False
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,21,1,0,0,1,0,1,0,1,0,0,0,WHU,21,31/01/2021,FWD,False
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,MID,False
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,0,33,1,0,0,1,0,1,0,1,0,0,0,WHU,21,31/01/2021,MID,False
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,1,57,0,1,0,0,0,0,0,0,0,0,0,WHU,21,31/01/2021,MID,False
"Origi  Divock Origi (Liverpool, Forward)",LIV,5.0,1,80,0,1,0,0,0,0,1,0,0,0,0,WHU,21,31/01/2021,FWD,False
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,0,10,1,0,0,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,MID,False
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,DEF,False
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,GKP,False
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,DEF,False
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,1,90,0,0,2,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,MID,False
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,1,69,0,1,0,1,0,1,1,0,0,0,0,WHU,21,31/01/2021,MID,False
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,1,90,0,0,1,0,0,0,0,1,0,0,0,WHU,21,31/01/2021,MID,False
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,1,79,0,1,0,0,0,0,0,2,0,0,0,LIV,21,31/01/2021,FWD,True
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LIV,21,31/01/2021,MID,True
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,1,79,0,1,0,0,0,0,0,2,0,0,0,LIV,21,31/01/2021,MID,True
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LIV,21,31/01/2021,DEF,True
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,1,90,0,0,0,0,1,1,0,3,0,0,0,LIV,21,31/01/2021,DEF,True
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,1,90,0,0,1,0,0,0,0,3,0,0,0,LIV,21,31/01/2021,DEF,True
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LIV,21,31/01/2021,GKP,True
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,1,62,0,1,0,0,0,0,0,1,0,0,0,LIV,21,31/01/2021,MID,True
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,0,11,1,0,0,0,0,0,0,1,0,0,0,LIV,21,31/01/2021,DEF,True
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,11,1,0,0,0,0,0,0,1,0,0,0,LIV,21,31/01/2021,MID,True
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LIV,21,31/01/2021,DEF,True
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,1,90,0,0,0,0,0,0,0,3,0,1,0,LIV,21,31/01/2021,MID,True
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,1,90,0,0,0,0,0,0,0,3,0,1,0,LIV,21,31/01/2021,MID,True
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,0,28,1,0,0,0,0,0,0,2,0,0,0,LIV,21,31/01/2021,MID,True
