Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,69,3,0,0,4,0,0,1,2,11,11,6.3,03/02/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,4,4,0,4,2,0,1,0,15,15,6.0,03/02/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,45,1,1,0,0,0,0,0,1,1,1,45.0,03/02/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,4,0,0,4,0,1,4,2,25,16,5.6,03/02/2021
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,21,2,0,0,0,0,0,0,0,3,3,7.0,03/02/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,2,6,1,4,0,0,1,0,15,15,6.0,03/02/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,10,1,0,4,0,0,0,0,25,25,3.6,03/02/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,5,0,1,4,0,0,0,1,13,13,6.9,03/02/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,10,6,0,2,0,0,0,0,13,13,6.9,03/02/2021
"Sanson  Morgan Sanson (Aston Villa, Midfielder)",AVL,5.0,10,1,0,0,0,0,0,0,0,3,3,3.3,03/02/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,80,2,5,0,4,0,0,0,1,7,7,11.4,03/02/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,4,0,1,2,0,0,0,1,10,10,9.0,03/02/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,45,3,0,0,0,0,0,0,1,5,5,9.0,03/02/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,1,1,0,0,0,0,0,1,18,-6,0.0,03/02/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,90,1,0,0,0,0,0,2,0,16,-2,0.0,03/02/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,88,5,1,0,6,1,0,3,0,19,10,8.8,03/02/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,1,0,0,0,0,0,0,0,0,3,3,0.3,03/02/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,6,6,1,0,1,1,2,1,18,18,5.0,03/02/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,1,2,0,2,0,1,2,0,10,10,9.0,03/02/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,90,5,8,0,0,0,0,0,0,9,9,10.0,03/02/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,4,0,0,0,0,0,0,0,9,9,10.0,03/02/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,6,0,0,0,0,0,0,0,0,3,3,2.0,03/02/2021
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,84,6,1,2,0,3,0,2,1,17,17,4.9,03/02/2021
"Johnson (Ben)  Ben Johnson (West Ham United, Defender)",WHU,4.0,2,0,0,0,0,0,0,0,0,3,3,0.7,03/02/2021
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,89,2,0,0,6,1,0,2,2,47,8,11.1,03/02/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,4,5,1,4,0,0,0,0,13,13,6.9,03/02/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,8,2,0,4,0,0,0,0,10,10,9.0,03/02/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,10,5,0,2,0,0,1,2,30,12,7.5,03/02/2021
