Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,4,3,0,0,0,0,0,2,27,0,0.0,03/02/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,1,0,0,0,0,0,0,0,0,3,3,0.3,03/02/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,2,5,0,0,2,1,1,1,22,13,6.9,03/02/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,90,10,4,1,4,0,1,2,2,23,23,3.9,03/02/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,4,10,1,0,0,1,1,0,21,12,7.5,03/02/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,90,6,2,1,0,0,0,0,0,3,3,30.0,03/02/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,87,4,0,0,0,0,0,1,1,6,6,14.5,03/02/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,10,1,1,0,0,0,0,0,0,3,3,3.3,03/02/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,3,2,0,0,0,0,0,0,0,1,1,3.0,03/02/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,90,4,11,1,0,0,0,0,1,9,9,10.0,03/02/2021
"Olsen  Robin Olsen (Everton, Goalkeeper)",EVE,4.5,90,4,1,0,0,0,0,0,0,16,16,5.6,03/02/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,89,4,2,0,0,0,0,1,1,25,7,12.7,03/02/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,90,9,2,0,6,0,0,1,4,21,21,4.3,03/02/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,80,5,5,0,0,0,0,0,2,7,7,11.4,03/02/2021
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,78,6,0,1,4,0,0,1,0,10,10,7.8,03/02/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,8,4,1,2,1,0,2,2,14,14,6.4,03/02/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,3,1,1,0,0,0,3,1,17,8,11.3,03/02/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,6,6,2,6,0,0,0,0,21,21,4.3,03/02/2021
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,3,1,0,0,0,0,0,0,0,3,3,1.0,03/02/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,5,2,0,2,1,0,2,0,11,11,8.2,03/02/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,6,1,0,2,0,0,2,4,25,7,12.9,03/02/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,87,7,1,0,2,1,0,1,0,5,5,17.4,03/02/2021
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,12,1,0,0,0,0,0,0,0,3,3,4.0,03/02/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,69,2,0,0,4,0,0,0,0,7,7,9.9,03/02/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,7,0,0,0,0,0,0,0,16,16,5.6,03/02/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,5,2,1,4,0,0,2,0,14,14,6.4,03/02/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,21,2,0,0,0,0,0,0,1,3,3,7.0,03/02/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,4,5,1,6,0,0,0,1,18,18,5.0,03/02/2021
