Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.01,-0.01,9000.0,1,0.98,0.02,91.8,0.99,0.01,90.9,03/02/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,0.1,0.9,900.0,0,0.0,0.0,inf,0.1,0.9,900.0,03/02/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,0,0.28,-0.28,321.4,0,0.0,0.0,inf,0.28,-0.28,321.4,03/02/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,0.01,0.99,9000.0,0,0.14,-0.14,642.9,0.15,0.85,600.0,03/02/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,03/02/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.01,-0.01,8700.0,0,0.03,-0.03,2900.0,0.04,-0.04,2175.0,03/02/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Olsen  Robin Olsen (Everton, Goalkeeper)",EVE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,0.08,-0.08,1112.5,1,0.47,0.53,189.4,0.55,0.45,161.8,03/02/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,03/02/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.01,-0.01,8000.0,0,0.03,-0.03,2666.7,0.04,-0.04,2000.0,03/02/2021
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,0,0.06,-0.06,1300.0,0,0.02,-0.02,3900.0,0.08,-0.08,975.0,03/02/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,0,0.06,-0.06,1500.0,0,0.1,-0.1,900.0,0.16,-0.16,562.5,03/02/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,0.1,0.9,900.0,0,0.28,-0.28,321.4,0.38,0.62,236.8,03/02/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,0,0.29,-0.29,310.3,0,0.03,-0.03,3000.0,0.32,-0.32,281.3,03/02/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,0,0.14,-0.14,642.9,1,0.63,0.37,142.9,0.77,0.23,116.9,03/02/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,0,0.08,-0.08,1087.5,0,0.05,-0.05,1740.0,0.13,-0.13,669.2,03/02/2021
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,0,0.03,-0.03,400.0,0,0.0,0.0,inf,0.03,-0.03,400.0,03/02/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,0,0.02,-0.02,3450.0,0,0.07,-0.07,985.7,0.09,-0.09,766.7,03/02/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,0,0.12,-0.12,750.0,0,0.0,0.0,inf,0.12,-0.12,750.0,03/02/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,0,0.03,-0.03,700.0,0,0.06,-0.06,350.0,0.09,-0.09,233.3,03/02/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,0,0.01,-0.01,9000.0,0,0.06,-0.06,1500.0,0.07,-0.07,1285.7,03/02/2021
