Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,90,5,7,0,2,1,0,1,0,32,11,8.2,03/02/2021
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,10,7,0,2,0,0,0,1,9,9,10.0,03/02/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,90,7,5,0,0,0,0,0,0,17,5,18.0,03/02/2021
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,7,0,0,0,0,0,0,0,0,3,3,2.3,03/02/2021
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,6,10,0,6,0,0,0,0,31,19,4.7,03/02/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,6,1,0,2,1,0,4,1,16,16,5.6,03/02/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,23,0,1,0,0,0,0,1,0,3,3,7.7,03/02/2021
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,67,8,1,0,0,1,0,1,1,9,9,7.4,03/02/2021
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,83,3,0,0,0,0,0,1,0,4,4,20.8,03/02/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,15,1,0,0,0,0,0,0,26,14,6.4,03/02/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,87,5,1,1,0,0,1,2,1,21,12,7.3,03/02/2021
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,5,11,0,2,0,0,0,0,25,13,6.9,03/02/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,4,0,2,0,0,0,0,22,10,9.0,03/02/2021
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,3,0,0,0,0,0,0,0,0,3,3,1.0,03/02/2021
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,90,9,2,5,6,0,0,0,0,23,23,3.9,03/02/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,5,3,0,4,1,1,2,2,20,20,4.5,03/02/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,79,8,2,0,2,0,0,0,1,10,10,7.9,03/02/2021
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,90,10,7,1,4,0,1,1,1,23,23,3.9,03/02/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,11,1,0,0,0,0,0,0,1,3,3,3.7,03/02/2021
"Kelleher  Caoimhin Kelleher (Liverpool, Goalkeeper)",LIV,4.5,90,9,1,0,0,0,0,0,0,15,15,6.0,03/02/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,90,7,2,0,4,0,0,0,0,11,11,8.2,03/02/2021
"Origi  Divock Origi (Liverpool, Forward)",LIV,5.0,26,0,1,0,0,0,0,1,0,4,4,6.5,03/02/2021
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,26,2,0,0,0,0,0,0,0,0,0,0.0,03/02/2021
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,90,4,8,0,4,0,0,0,0,14,14,6.4,03/02/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,5,3,1,4,0,0,0,1,13,13,6.9,03/02/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,90,1,0,0,4,2,0,0,0,0,0,0.0,03/02/2021
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,64,2,0,0,4,0,0,2,0,9,9,7.1,03/02/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,64,3,0,0,0,0,0,0,0,-2,-2,0.0,03/02/2021
