Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,0,0.05,-0.05,1800.0,1,0.53,0.47,169.8,0.58,0.42,155.2,03/02/2021
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,0,0.01,-0.01,9000.0,0,0.07,-0.07,1285.7,0.08,-0.08,1125.0,03/02/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.01,-0.01,9000.0,0,0.21,-0.21,428.6,0.22,-0.22,409.1,03/02/2021
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,0,0.01,-0.01,9000.0,0,0.08,-0.08,1125.0,0.09,-0.09,1000.0,03/02/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,0,0.14,-0.14,642.9,0,0.04,-0.04,2250.0,0.18,-0.18,500.0,03/02/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.01,-0.01,2300.0,0,0.0,0.0,inf,0.01,-0.01,2300.0,03/02/2021
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.08,-0.08,837.5,0,0.04,-0.04,1675.0,0.12,-0.12,558.3,03/02/2021
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,0,0.01,-0.01,8300.0,0,0.15,-0.15,553.3,0.16,-0.16,518.8,03/02/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,1,0.02,0.98,4350.0,0,0.06,-0.06,1450.0,0.08,0.92,1087.5,03/02/2021
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.01,-0.01,9000.0,0,0.08,-0.08,1125.0,0.09,-0.09,1000.0,03/02/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,03/02/2021
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,0,0.08,-0.08,1125.0,0,0.0,0.0,inf,0.08,-0.08,1125.0,03/02/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,0,0.22,-0.22,409.1,0,0.0,0.0,inf,0.22,-0.22,409.1,03/02/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,0.03,-0.03,2633.3,0,0.19,-0.19,415.8,0.22,-0.22,359.1,03/02/2021
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,03/02/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,0,0.01,-0.01,1100.0,0,0.03,-0.03,366.7,0.04,-0.04,275.0,03/02/2021
"Kelleher  Caoimhin Kelleher (Liverpool, Goalkeeper)",LIV,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/02/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,0,0.05,-0.05,1800.0,0,0.02,-0.02,4500.0,0.07,-0.07,1285.7,03/02/2021
"Origi  Divock Origi (Liverpool, Forward)",LIV,5.0,0,0.01,-0.01,2600.0,0,0.0,0.0,inf,0.01,-0.01,2600.0,03/02/2021
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,0,0.01,-0.01,2600.0,0,0.06,-0.06,433.3,0.07,-0.07,371.4,03/02/2021
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,03/02/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,03/02/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,0,0.12,-0.12,750.0,0,0.7,-0.7,128.6,0.82,-0.82,109.8,03/02/2021
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,0,0.05,-0.05,1280.0,0,0.0,0.0,inf,0.05,-0.05,1280.0,03/02/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,0,0.01,-0.01,6400.0,0,0.0,0.0,inf,0.01,-0.01,6400.0,03/02/2021
