Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,2,0.6,1.4,150.0,1,1.04,-0.04,86.5,1.64,1.36,54.9,02/02/2021
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,0,0.04,-0.04,1125.0,1,0.28,0.72,160.7,0.32,0.68,140.6,02/02/2021
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,1,0.45,0.55,200.0,0,0.17,-0.17,529.4,0.62,0.38,145.2,02/02/2021
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,0,0.03,-0.03,1000.0,1,0.65,0.35,46.2,0.68,0.32,44.1,02/02/2021
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,0,0.13,-0.13,692.3,0,0.0,0.0,inf,0.13,-0.13,692.3,02/02/2021
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,0,0.05,-0.05,900.0,2,1.36,0.64,33.1,1.41,0.59,31.9,02/02/2021
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,0,0.13,-0.13,692.3,1,0.07,0.93,1285.7,0.2,0.8,450.0,02/02/2021
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,02/02/2021
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,0,0.07,-0.07,857.1,1,0.36,0.64,166.7,0.43,0.57,139.5,02/02/2021
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,0,0.23,-0.23,391.3,0,0.05,-0.05,1800.0,0.28,-0.28,321.4,02/02/2021
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,2,0.71,1.29,63.4,0,0.02,-0.02,2250.0,0.73,1.27,61.6,02/02/2021
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,0,0.19,-0.19,473.7,1,0.68,0.32,132.4,0.87,0.13,103.4,02/02/2021
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,02/02/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.0,0.0,inf,0,0.3,-0.3,300.0,0.3,-0.3,300.0,02/02/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,0,0.03,-0.03,2600.0,0,0.0,0.0,inf,0.03,-0.03,2600.0,02/02/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Jankewitz  Alexandre Jankewitz (Southampton, Midfielder)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Ramsay  Kayne Ramsay (Southampton, Defender)",SOU,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,0,0.14,-0.14,142.9,0,0.0,0.0,inf,0.14,-0.14,142.9,02/02/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Tchaptchet  Allan Tchaptchet (Southampton, Defender)",SOU,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,02/02/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.0,0.0,inf,0,0.17,-0.17,529.4,0.17,-0.17,529.4,02/02/2021
