Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,1,90,0,0,0,0,0,0,0,1,0,1,0,NEW,22,02/02/2021,FWD,False
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,1,73,0,1,0,0,0,0,0,1,0,0,0,NEW,22,02/02/2021,FWD,False
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,0,17,1,0,0,0,0,0,0,0,0,0,0,NEW,22,02/02/2021,FWD,False
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,1,90,0,0,1,0,0,0,0,1,0,0,0,NEW,22,02/02/2021,DEF,False
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,NEW,22,02/02/2021,DEF,False
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,1,90,0,0,0,0,0,0,0,1,0,0,0,NEW,22,02/02/2021,DEF,False
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,1,90,0,0,0,1,0,1,0,1,0,0,0,NEW,22,02/02/2021,MID,False
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,NEW,22,02/02/2021,GKP,False
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,NEW,22,02/02/2021,MID,False
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,1,90,0,0,0,0,0,0,0,1,0,1,0,NEW,22,02/02/2021,MID,False
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,1,89,0,1,1,0,0,0,0,1,0,0,0,NEW,22,02/02/2021,MID,False
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,32,1,0,0,0,0,0,0,0,0,0,0,NEW,22,02/02/2021,MID,False
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,1,90,0,0,0,0,0,0,0,1,0,0,0,NEW,22,02/02/2021,DEF,False
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,1,58,0,1,0,0,0,0,0,1,0,0,0,NEW,22,02/02/2021,MID,False
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,MID,True
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,0,1,1,0,0,0,0,0,0,0,0,0,0,CRY,22,02/02/2021,FWD,True
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,1,89,0,1,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,DEF,True
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,GKP,True
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,MID,True
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,0,13,1,0,0,0,0,0,0,0,0,0,0,CRY,22,02/02/2021,FWD,True
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,MID,True
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,1,63,0,1,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,MID,True
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,DEF,True
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,1,77,0,1,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,DEF,True
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,27,1,0,0,0,0,0,0,0,0,0,0,CRY,22,02/02/2021,MID,True
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CRY,22,02/02/2021,DEF,True
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,1,90,0,0,1,0,0,0,0,2,0,1,0,CRY,22,02/02/2021,MID,True
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,1,90,0,0,0,1,0,1,0,2,0,0,0,CRY,22,02/02/2021,FWD,True
