Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alonso  Marcos Alonso (Chelsea, Defender)",CHE,5.5,90,10,6,0,2,0,0,1,4,25,13,6.9,04/02/2021
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,90,6,3,1,6,0,0,1,1,22,10,9.0,04/02/2021
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,54,3,4,0,6,0,0,0,0,12,12,4.5,04/02/2021
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,90,8,2,0,6,0,0,2,0,36,15,6.0,04/02/2021
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,65,1,0,1,0,0,0,0,2,6,6,10.8,04/02/2021
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,90,7,2,0,6,1,0,3,2,31,19,4.7,04/02/2021
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,16,0,0,0,0,0,0,1,0,-1,-1,0.0,04/02/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,74,6,1,1,4,0,0,0,1,14,14,5.3,04/02/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,90,7,1,0,0,0,0,0,0,24,12,7.5,04/02/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,90,2,0,0,6,0,0,3,1,13,13,6.9,04/02/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,25,0,1,0,0,0,0,0,2,-1,-1,0.0,04/02/2021
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,90,3,2,1,6,0,0,0,0,26,14,6.4,04/02/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,90,1,2,1,0,2,0,1,0,16,7,12.9,04/02/2021
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,36,3,2,0,6,0,0,0,0,10,10,3.6,04/02/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,4,4,1,4,0,0,0,0,11,11,8.2,04/02/2021
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,90,1,2,0,0,0,0,0,0,-1,-1,0.0,04/02/2021
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,90,4,3,1,6,1,1,1,0,16,16,5.6,04/02/2021
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,69,3,0,1,0,0,0,0,4,11,11,6.3,04/02/2021
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,90,4,4,0,2,0,0,0,0,10,10,9.0,04/02/2021
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,90,4,14,0,2,0,0,0,0,11,11,8.2,04/02/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,11,3,0,6,0,0,0,1,11,11,8.2,04/02/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,21,0,1,0,0,0,0,0,2,2,2,10.5,04/02/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,6,1,0,0,0,0,0,0,10,10,9.0,04/02/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,69,2,1,0,2,0,0,0,4,9,9,7.7,04/02/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,21,0,0,1,0,0,0,0,2,4,4,5.3,04/02/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,90,5,5,0,4,0,0,1,1,13,13,6.9,04/02/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,3,1,1,0,0,0,2,0,7,7,12.9,04/02/2021
