Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cedric  Cedric Ricardo Alves Soares (Arsenal, Defender)",ARS,4.5,65,4,0,2,0,0,0,1,0,9,9,7.2,06/02/2021
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,31,0,0,0,0,0,0,0,0,1,1,31.0,06/02/2021
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,90,7,3,0,4,1,0,1,0,13,13,6.9,06/02/2021
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,16,1,0,0,0,0,0,0,1,3,3,5.3,06/02/2021
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,90,4,1,0,4,0,0,1,1,10,10,9.0,06/02/2021
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,59,0,2,0,0,0,0,1,0,2,2,29.5,06/02/2021
"Odegaard  Martin Odegaard (Arsenal, Midfielder)",ARS,5.6,25,1,0,0,0,0,0,0,0,0,0,0.0,06/02/2021
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,74,8,1,1,6,0,0,0,0,11,11,6.7,06/02/2021
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,90,2,1,1,2,0,0,0,1,4,4,22.5,06/02/2021
"Mat Ryan  Mathew Ryan (Arsenal, Goalkeeper)",ARS,4.5,90,6,0,0,0,0,0,0,0,22,22,4.1,06/02/2021
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,90,6,2,2,4,4,0,3,0,18,18,5.0,06/02/2021
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,90,6,0,1,6,0,0,1,2,17,17,5.3,06/02/2021
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,90,13,1,0,4,1,0,2,0,11,11,8.2,06/02/2021
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,90,7,4,0,6,0,0,0,0,15,15,6.0,06/02/2021
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,78,0,0,0,0,1,1,3,4,13,13,6.0,06/02/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,2,5,0,2,0,0,0,1,21,9,10.0,06/02/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,4,1,0,0,0,0,4,4,8,8,11.3,06/02/2021
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,24,3,2,0,0,0,0,0,0,3,3,8.0,06/02/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,3,10,0,0,0,0,0,0,20,8,11.3,06/02/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,10,2,0,0,0,0,0,0,28,16,5.6,06/02/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,8,3,2,0,0,0,0,0,13,13,6.9,06/02/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,2,8,0,0,0,0,0,0,22,10,9.0,06/02/2021
"Nakamba  Marvelous Nakamba (Aston Villa, Midfielder)",AVL,4.5,90,5,3,0,0,0,0,1,0,3,3,30.0,06/02/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,12,1,0,0,0,0,0,0,0,3,3,4.0,06/02/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,8,7,0,0,1,0,1,0,24,12,7.5,06/02/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,66,2,1,0,0,0,0,1,1,9,0,0.0,06/02/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,5,0,0,0,0,0,1,0,29,2,45.0,06/02/2021
