Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,0,0.04,-0.04,2250.0,0,0.1,-0.1,900.0,0.14,-0.14,642.9,06/02/2021
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,06/02/2021
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/02/2021
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,0,0.07,-0.07,1285.7,0,0.23,-0.23,391.3,0.3,-0.3,300.0,06/02/2021
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,0,0.12,-0.12,691.7,0,0.14,-0.14,592.9,0.26,-0.26,319.2,06/02/2021
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,0,0.01,-0.01,7900.0,0,0.0,0.0,inf,0.01,-0.01,7900.0,06/02/2021
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,0,0.07,-0.07,1285.7,0,0.62,-0.62,145.2,0.69,-0.69,130.4,06/02/2021
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,0,0.45,-0.45,200.0,0,0.24,-0.24,375.0,0.69,-0.69,130.4,06/02/2021
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,0,0.01,-0.01,1100.0,0,0.05,-0.05,220.0,0.06,-0.06,183.3,06/02/2021
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,0,0.04,-0.04,275.0,0,0.09,-0.09,122.2,0.13,-0.13,84.6,06/02/2021
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,0,0.09,-0.09,1000.0,0,0.0,0.0,inf,0.09,-0.09,1000.0,06/02/2021
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,0,0.03,-0.03,2633.3,0,0.0,0.0,inf,0.03,-0.03,2633.3,06/02/2021
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,06/02/2021
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,0,0.01,-0.01,700.0,0,0.03,-0.03,233.3,0.04,-0.04,175.0,06/02/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,0,0.01,-0.01,7400.0,0,0.0,0.0,inf,0.01,-0.01,7400.0,06/02/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,0.01,-0.01,5600.0,0,0.0,0.0,inf,0.01,-0.01,5600.0,06/02/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,0,0.0,0.0,inf,0,0.56,-0.56,100.0,0.56,-0.56,100.0,06/02/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,0,0.06,-0.06,1500.0,0,0.04,-0.04,2250.0,0.1,-0.1,900.0,06/02/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,0,0.52,-0.52,173.1,0,0.06,-0.06,1500.0,0.58,-0.58,155.2,06/02/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.04,-0.04,2250.0,0.04,-0.04,2250.0,06/02/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/02/2021
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/02/2021
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,0,0.25,-0.25,360.0,0,0.0,0.0,inf,0.25,-0.25,360.0,06/02/2021
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,0.01,-0.01,3400.0,0,0.0,0.0,inf,0.01,-0.01,3400.0,06/02/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/02/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,0,0.16,-0.16,562.5,0,0.06,-0.06,1500.0,0.22,-0.22,409.1,06/02/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.01,-0.01,8900.0,0,0.27,-0.27,329.6,0.28,-0.28,317.9,06/02/2021
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/02/2021
