Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,76,5,0,0,0,0,0,1,1,2,2,38.0,08/02/2021
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,25,0,0,0,0,0,0,1,0,3,3,8.3,08/02/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,14,1,1,0,0,0,0,0,0,3,3,4.7,08/02/2021
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,90,2,6,0,0,0,0,0,0,4,4,22.5,08/02/2021
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,90,8,2,0,0,0,0,0,0,7,7,12.9,08/02/2021
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,90,7,3,0,0,0,0,0,0,9,9,10.0,08/02/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,7,1,0,4,0,0,3,1,10,10,9.0,08/02/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,4,0,0,0,0,0,0,0,18,18,5.0,08/02/2021
"Mateta  Jean-Philippe Mateta (Crystal Palace, Forward)",CRY,5.5,65,2,2,0,0,0,0,1,1,4,4,16.3,08/02/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,90,5,0,1,4,0,0,0,1,5,5,18.0,08/02/2021
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,90,8,3,0,2,0,0,0,1,9,9,10.0,08/02/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,90,5,3,0,4,0,0,1,1,13,13,6.9,08/02/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,45,3,1,2,0,1,0,1,2,12,12,3.8,08/02/2021
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,45,5,0,1,0,0,0,0,0,4,4,11.3,08/02/2021
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,8,2,0,4,2,0,2,0,27,15,6.0,08/02/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,5,4,1,4,2,0,2,2,29,17,5.3,08/02/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,3,0,0,0,0,0,0,1,27,3,30.0,08/02/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,7,2,1,6,0,0,0,0,27,15,6.0,08/02/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,8,0,0,4,0,0,2,0,34,13,6.9,08/02/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,2,0,1,2,1,1,1,0,21,12,7.5,08/02/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,3,3,0,4,0,0,1,2,32,11,8.2,08/02/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,90,9,2,0,4,0,0,2,0,14,14,6.4,08/02/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,13,0,0,6,0,0,0,0,34,22,4.1,08/02/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,88,7,4,0,4,1,1,3,0,19,19,4.6,08/02/2021
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,2,0,0,0,0,0,0,0,0,3,3,0.7,08/02/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,4,3,0,6,0,0,0,0,17,5,18.0,08/02/2021
