Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,8,2,0,4,0,0,0,0,24,12,7.5,07/02/2021
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,68,3,0,1,4,0,0,2,2,22,10,6.8,07/02/2021
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,16,1,0,0,0,0,0,0,0,-1,-1,0.0,07/02/2021
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,90,3,2,1,6,0,0,0,0,23,11,8.2,07/02/2021
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,22,1,0,0,0,0,0,0,0,2,2,11.0,07/02/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,12,4,1,6,0,1,1,2,35,26,3.5,07/02/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,3,0,0,0,0,0,2,1,28,1,90.0,07/02/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,74,7,0,1,4,0,0,1,1,5,5,14.8,07/02/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,3,0,0,0,0,0,0,0,21,9,10.0,07/02/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,90,7,0,0,6,0,0,0,2,13,13,6.9,07/02/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,90,2,0,0,2,0,1,2,1,18,9,10.0,07/02/2021
"Scarlett  Dane Scarlett (Tottenham Hotspur, Forward)",TOT,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,07/02/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,89,2,1,1,4,0,0,1,1,28,10,8.9,07/02/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,4,3,0,6,0,0,0,0,22,10,9.0,07/02/2021
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,4,9,0,0,0,0,0,1,11,11,8.2,07/02/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,90,4,9,2,0,0,0,0,0,13,13,6.9,07/02/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,10,0,0,0,0,0,0,1,1,3,3,3.3,07/02/2021
"Diagne  Mbaye Diagne (West Bromwich Albion, Forward)",WBA,6.0,90,4,2,1,0,0,0,0,0,0,0,0.0,07/02/2021
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,90,9,2,0,0,0,0,0,0,3,3,30.0,07/02/2021
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,69,3,1,1,0,0,0,0,0,6,6,11.5,07/02/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,9,0,0,0,0,0,0,0,17,17,5.3,07/02/2021
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,90,6,2,0,0,0,0,0,0,4,4,22.5,07/02/2021
"Peltier  Lee Peltier (West Bromwich Albion, Defender)",WBA,3.9,90,5,4,0,0,2,0,0,1,10,10,9.0,07/02/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,21,2,0,0,0,1,0,1,0,3,3,7.0,07/02/2021
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,78,2,0,1,6,0,0,0,0,11,11,7.1,07/02/2021
"Snodgrass  Robert Snodgrass (West Bromwich Albion, Midfielder)",WBA,5.6,80,4,3,3,0,2,1,1,0,14,14,5.7,07/02/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,90,6,6,0,4,1,0,1,0,17,17,5.3,07/02/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,12,2,0,3,0,0,0,0,0,7,7,1.7,07/02/2021
