Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,29,3,0,1,0,1,1,2,0,9,9,3.2,07/02/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,90,2,4,0,2,0,0,0,1,19,7,12.9,07/02/2021
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,90,6,1,0,4,0,0,0,2,8,8,11.3,07/02/2021
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,90,6,3,5,6,0,0,0,0,23,23,3.9,07/02/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,6,8,0,6,0,0,0,0,25,13,6.9,07/02/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,61,0,0,0,0,0,0,3,0,5,5,12.2,07/02/2021
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,90,9,3,0,6,0,0,0,0,27,15,6.0,07/02/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,90,2,0,0,2,0,0,1,1,4,4,22.5,07/02/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,61,3,4,0,0,1,0,1,3,8,8,7.6,07/02/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,1,0,0,0,0,0,0,0,20,8,11.3,07/02/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,5,6,0,6,0,0,0,0,23,11,8.2,07/02/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,12,1,2,4,1,0,2,1,15,15,6.0,07/02/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,29,0,2,0,0,0,0,0,0,0,0,0.0,07/02/2021
"Jonny  Jonathan Castro Otto (Wolverhampton Wanderers, Defender)",WOL,4.5,45,4,3,1,0,0,0,0,1,6,6,7.5,07/02/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,2,3,0,4,0,0,0,0,23,11,8.2,07/02/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,61,4,1,0,0,0,0,0,0,6,6,10.2,07/02/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,2,3,0,4,0,0,0,0,8,8,11.3,07/02/2021
"Gibbs-White  Morgan Gibbs-White (Wolverhampton Wanderers, Midfielder)",WOL,4.5,2,0,1,0,0,0,0,0,0,3,3,0.7,07/02/2021
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,45,6,0,1,0,0,0,0,2,4,4,11.3,07/02/2021
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,90,4,5,1,4,0,0,0,0,26,14,6.4,07/02/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,11,3,0,4,1,0,4,2,18,18,5.0,07/02/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,88,7,0,1,0,2,0,3,5,11,11,8.0,07/02/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,7,8,1,2,0,0,0,0,25,13,6.9,07/02/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,29,0,1,0,0,0,0,0,0,0,0,0.0,07/02/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,6,0,1,0,1,1,3,5,14,14,6.4,07/02/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,10,5,1,4,0,1,1,2,16,16,5.6,07/02/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,5,0,0,0,0,0,0,0,25,13,6.9,07/02/2021
