Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,0,0.19,-0.19,152.6,0,0.05,-0.05,580.0,0.24,-0.24,120.8,07/02/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,07/02/2021
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,0,0.15,-0.15,600.0,0,0.1,-0.1,900.0,0.25,-0.25,360.0,07/02/2021
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,07/02/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,07/02/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,0,0.06,-0.06,1016.7,0,0.04,-0.04,1525.0,0.1,-0.1,610.0,07/02/2021
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,07/02/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,0,0.06,-0.06,1500.0,0,0.43,-0.43,209.3,0.49,-0.49,183.7,07/02/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,0.04,-0.04,1525.0,0,0.0,0.0,inf,0.04,-0.04,1525.0,07/02/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,07/02/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,0,0.01,-0.01,9000.0,0,0.02,-0.02,4500.0,0.03,-0.03,3000.0,07/02/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,0,0.08,-0.08,1125.0,0,0.02,-0.02,4500.0,0.1,-0.1,900.0,07/02/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,0,0.0,0.0,inf,0,0.1,-0.1,290.0,0.1,-0.1,290.0,07/02/2021
"Jonny  Jonathan Castro Otto (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,07/02/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,07/02/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,0,0.01,-0.01,6100.0,0,0.0,0.0,inf,0.01,-0.01,6100.0,07/02/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.06,-0.06,1500.0,0,0.05,-0.05,1800.0,0.11,-0.11,818.2,07/02/2021
"Gibbs-White  Morgan Gibbs-White (Wolverhampton Wanderers, Midfielder)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,07/02/2021
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,0,0.0,0.0,inf,0,0.04,-0.04,1125.0,0.04,-0.04,1125.0,07/02/2021
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.09,-0.09,1000.0,0.09,-0.09,1000.0,07/02/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.11,-0.11,818.2,0,0.06,-0.06,1500.0,0.17,-0.17,529.4,07/02/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,0,0.38,-0.38,231.6,0,0.43,-0.43,204.7,0.81,-0.81,108.6,07/02/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.01,-0.01,9000.0,0,0.03,-0.03,3000.0,0.04,-0.04,2250.0,07/02/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,0,0.0,0.0,inf,0,0.11,-0.11,263.6,0.11,-0.11,263.6,07/02/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,0,0.48,-0.48,187.5,0,0.11,-0.11,818.2,0.59,-0.59,152.5,07/02/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,0,0.49,-0.49,183.7,0,0.23,-0.23,391.3,0.72,-0.72,125.0,07/02/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,07/02/2021
