Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cedric  Cedric Ricardo Alves Soares (Arsenal, Defender)",ARS,4.5,90,7,5,0,2,0,0,1,0,12,12,7.5,14/02/2021
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,90,2,0,0,0,1,0,2,0,56,2,45.0,14/02/2021
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,90,4,7,1,4,0,0,1,1,31,16,5.6,14/02/2021
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,28,0,0,0,0,0,0,0,0,3,3,9.3,14/02/2021
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,89,7,3,0,2,0,0,1,1,20,11,8.1,14/02/2021
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,12,0,0,0,0,0,0,0,0,3,3,4.0,14/02/2021
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,1,0,1,0,0,0,0,0,0,3,3,0.3,14/02/2021
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,90,12,0,0,0,0,0,0,0,16,16,5.6,14/02/2021
"Luiz  David Luiz Moreira Marinho (Arsenal, Defender)",ARS,5.4,90,7,5,0,0,0,1,1,0,13,13,6.9,14/02/2021
"Odegaard  Martin Odegaard (Arsenal, Midfielder)",ARS,5.6,78,5,1,0,4,0,0,1,2,12,12,6.5,14/02/2021
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,90,3,0,1,0,0,0,0,3,14,5,18.0,14/02/2021
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,62,2,4,0,0,0,1,2,0,21,12,5.2,14/02/2021
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,90,7,1,0,4,0,0,2,0,21,12,7.5,14/02/2021
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,90,7,5,0,2,0,0,0,0,10,10,9.0,14/02/2021
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,53,4,0,1,0,0,0,1,0,5,5,10.6,14/02/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,10,3,0,2,0,0,0,1,12,12,7.5,14/02/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,2,1,0,0,0,0,1,0,6,6,15.0,14/02/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,11,5,3,4,0,0,0,0,21,21,4.3,14/02/2021
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,45,3,0,1,0,0,0,0,1,20,2,22.5,14/02/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,3,5,1,4,0,0,0,1,8,8,11.3,14/02/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,2,2,0,0,0,0,3,1,17,8,11.3,14/02/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,45,4,1,1,0,1,0,1,0,6,6,7.5,14/02/2021
"Huggins  Niall Huggins (Leeds United, Forward)",LEE,4.5,37,3,1,0,0,0,0,0,0,4,4,9.3,14/02/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,45,4,0,0,0,0,0,0,0,2,2,22.5,14/02/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,10,0,0,2,0,0,0,0,6,6,15.0,14/02/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,45,2,1,0,0,0,1,2,1,16,7,6.4,14/02/2021
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,90,8,1,0,6,0,0,0,1,15,15,6.0,14/02/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,8,5,2,4,0,0,0,1,25,13,6.9,14/02/2021
