Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,76,3,0,0,0,0,0,2,1,7,7,10.9,13/02/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,61,3,2,1,0,0,0,0,1,23,11,5.5,13/02/2021
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,29,4,1,1,0,0,0,0,0,6,6,4.8,13/02/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,3,1,1,4,0,0,0,1,5,5,18.0,13/02/2021
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,24,2,0,0,0,0,0,0,0,1,1,24.0,13/02/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,6,6,0,2,0,0,0,0,25,13,6.9,13/02/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,10,0,1,0,0,0,0,0,41,29,3.1,13/02/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,13,9,0,2,0,0,1,2,18,18,5.0,13/02/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,5,13,0,4,0,0,0,0,28,16,5.6,13/02/2021
"Sanson  Morgan Sanson (Aston Villa, Midfielder)",AVL,5.0,14,0,0,0,0,0,0,0,0,-2,-2,0.0,13/02/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,5,6,0,2,0,0,0,0,5,5,18.0,13/02/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,6,5,0,4,0,0,0,1,26,14,6.4,13/02/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,66,2,1,0,0,0,0,0,0,4,4,16.5,13/02/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,3,2,1,0,0,0,0,0,5,5,18.0,13/02/2021
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,62,1,0,0,0,0,0,1,0,2,2,31.0,13/02/2021
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,12,4,3,4,0,0,0,0,19,19,4.7,13/02/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,90,4,1,1,2,0,0,1,0,22,10,9.0,13/02/2021
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,5,4,0,4,0,0,2,0,27,15,6.0,13/02/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,4,2,0,2,1,0,3,0,13,13,6.9,13/02/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,28,2,0,0,0,0,1,4,0,10,10,2.8,13/02/2021
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,90,2,2,1,4,0,0,1,0,2,2,45.0,13/02/2021
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,80,1,0,1,0,0,0,2,1,8,8,10.0,13/02/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,5,0,0,4,0,0,0,0,25,13,6.9,13/02/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,90,3,1,0,4,1,0,2,1,6,6,15.0,13/02/2021
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,90,9,5,0,0,3,1,2,2,28,16,5.6,13/02/2021
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,10,0,0,0,0,0,0,0,0,-1,-1,0.0,13/02/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,7,3,0,4,0,0,0,1,25,13,6.9,13/02/2021
