Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,1,20,0,1,0,0,0,0,0,0,0,0,0,NEW,24,15/02/2021,FWD,True
"Alonso  Marcos Alonso (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,DEF,True
"Kepa  Kepa Arrizabalaga Revuelta (Chelsea, Goalkeeper)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,GKP,True
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,DEF,True
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,DEF,True
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,MID,True
"Giroud  Olivier Giroud (Chelsea, Forward)",CHE,6.5,0,70,1,0,1,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,FWD,True
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,1,78,0,1,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,MID,True
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,12,1,0,0,0,0,0,0,0,0,0,0,NEW,24,15/02/2021,DEF,True
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,20,1,0,0,0,0,0,0,0,0,0,0,NEW,24,15/02/2021,MID,True
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,MID,True
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,70,0,1,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,MID,True
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,DEF,True
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,1,90,0,0,1,0,0,0,1,0,0,0,0,NEW,24,15/02/2021,FWD,True
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,MID,False
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,26,1,0,0,0,0,0,0,0,0,0,0,CHE,24,15/02/2021,FWD,False
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,0,11,1,0,0,0,0,0,0,0,0,0,0,CHE,24,15/02/2021,FWD,False
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,DEF,False
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,GKP,False
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,0,18,1,0,0,0,0,0,0,0,0,0,0,CHE,24,15/02/2021,MID,False
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,1,64,0,1,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,FWD,False
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,MID,False
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,DEF,False
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,DEF,False
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,DEF,False
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,1,72,0,1,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,MID,False
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,MID,False
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,1,79,0,1,0,0,0,0,0,2,0,0,0,CHE,24,15/02/2021,MID,False
