Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Bardsley  Phillip Bardsley (Burnley, Defender)",BUR,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/02/2021
"Barnes (Ashley)  Ashley Barnes (Burnley, Forward)",BUR,5.5,0,0.03,-0.03,3000.0,0,0.4,-0.4,225.0,0.43,-0.43,209.3,13/02/2021
"Gudmundsson  Johann Berg Gudmundsson (Burnley, Midfielder)",BUR,5.5,0,0.02,-0.02,3600.0,1,0.16,0.84,450.0,0.18,0.82,400.0,13/02/2021
"Brady  Robert Brady (Burnley, Midfielder)",BUR,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/02/2021
"Cork  Jack Cork (Burnley, Midfielder)",BUR,4.5,0,0.0,0.0,inf,0,0.05,-0.05,1800.0,0.05,-0.05,1800.0,13/02/2021
"Long (Kevin)  Kevin Long (Burnley, Defender)",BUR,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/02/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,0,0.06,-0.06,1500.0,1,0.31,0.69,290.3,0.37,0.63,243.2,13/02/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,1,0.32,0.68,281.3,0,0.0,0.0,inf,0.32,0.68,281.3,13/02/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,0,0.05,-0.05,1680.0,0,0.0,0.0,inf,0.05,-0.05,1680.0,13/02/2021
"Pieters  Erik Pieters (Burnley, Defender)",BUR,4.5,0,0.01,-0.01,8700.0,0,0.0,0.0,inf,0.01,-0.01,8700.0,13/02/2021
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/02/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,1,0.1,0.9,900.0,1,0.49,0.51,183.7,0.59,1.41,152.5,13/02/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/02/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,0,0.03,-0.03,3000.0,0,0.05,-0.05,1800.0,0.08,-0.08,1125.0,13/02/2021
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,0,0.38,-0.38,236.8,0,0.09,-0.09,1000.0,0.47,-0.47,191.5,13/02/2021
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,0,0.01,-0.01,6200.0,0,0.0,0.0,inf,0.01,-0.01,6200.0,13/02/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,0,0.07,-0.07,1085.7,0,0.22,-0.22,345.5,0.29,-0.29,262.1,13/02/2021
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,13/02/2021
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/02/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,0,0.06,-0.06,1500.0,0,0.03,-0.03,3000.0,0.09,-0.09,1000.0,13/02/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/02/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/02/2021
"Mateta  Jean-Philippe Mateta (Crystal Palace, Forward)",CRY,5.5,0,0.01,-0.01,1400.0,0,0.04,-0.04,350.0,0.05,-0.05,280.0,13/02/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,13/02/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,0,0.08,-0.08,1125.0,0,0.02,-0.02,4500.0,0.1,-0.1,900.0,13/02/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,0.05,-0.05,560.0,0,0.08,-0.08,350.0,0.13,-0.13,215.4,13/02/2021
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,0,0.02,-0.02,4500.0,0,0.05,-0.05,1800.0,0.07,-0.07,1285.7,13/02/2021
