Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,74,8,3,0,0,0,0,0,2,9,9,8.2,13/02/2021
"Amartey  Daniel Amartey (Leicester City, Defender)",LEI,4.0,90,8,7,1,2,0,0,0,0,14,14,6.4,13/02/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,90,11,10,1,0,0,0,0,2,12,12,7.5,13/02/2021
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,90,4,1,2,0,1,0,2,4,36,9,10.0,13/02/2021
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,3,0,0,0,0,0,0,0,0,3,3,1.0,13/02/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,7,11,0,2,0,0,0,1,12,12,7.5,13/02/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,90,7,1,0,2,0,1,2,0,32,14,6.4,13/02/2021
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,13/02/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,90,19,11,3,2,0,1,2,2,37,28,3.2,13/02/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,15,0,0,0,0,0,0,0,0,3,3,5.0,13/02/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,6,0,0,0,0,0,0,0,14,14,6.4,13/02/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,5,9,1,2,0,0,0,0,15,15,6.0,13/02/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,87,10,6,0,2,0,0,0,2,12,12,7.3,13/02/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,1,4,2,0,0,0,0,0,25,-2,0.0,13/02/2021
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,73,10,2,0,6,0,0,0,2,13,13,5.6,13/02/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,10,2,1,0,0,1,2,3,16,16,5.6,13/02/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,90,5,0,2,2,0,0,2,3,21,12,7.5,13/02/2021
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,90,12,4,0,4,0,0,2,0,16,16,5.6,13/02/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,75,4,2,0,4,0,0,0,3,6,6,12.5,13/02/2021
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,90,3,2,1,6,0,0,0,0,8,8,11.3,13/02/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,90,4,0,0,0,0,1,2,6,13,13,6.9,13/02/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,17,4,1,0,0,0,0,0,0,4,4,4.3,13/02/2021
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,15,0,0,0,0,0,0,0,0,3,3,5.0,13/02/2021
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,11,1,1,0,0,0,0,0,14,14,6.4,13/02/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,4,3,0,4,1,0,1,3,14,14,6.4,13/02/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,90,0,0,0,4,0,0,1,0,23,5,18.0,13/02/2021
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,3,0,0,0,0,0,0,0,0,3,3,1.0,13/02/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,87,13,2,0,6,0,0,0,2,19,19,4.6,13/02/2021
