Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,1,74,0,1,0,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,MID,True
"Amartey  Daniel Amartey (Leicester City, Defender)",LEI,4.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,DEF,True
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,DEF,True
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,1,90,0,0,1,0,1,1,0,1,0,0,0,LIV,24,13/02/2021,MID,True
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,0,3,1,0,0,0,0,0,0,0,0,0,0,LIV,24,13/02/2021,MID,True
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,1,90,0,0,0,0,0,0,0,1,0,1,0,LIV,24,13/02/2021,DEF,True
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,1,90,0,0,1,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,MID,True
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,LIV,24,13/02/2021,MID,True
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,1,90,0,0,0,1,0,1,0,1,0,0,0,LIV,24,13/02/2021,MID,True
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,15,1,1,0,0,0,0,0,0,0,0,0,LIV,24,13/02/2021,MID,True
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,GKP,True
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,DEF,True
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,1,87,0,1,0,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,MID,True
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,1,90,0,0,1,0,0,0,0,1,0,0,0,LIV,24,13/02/2021,FWD,True
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,0,73,1,0,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,MID,False
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,1,90,0,0,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,DEF,False
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,1,90,0,0,0,1,0,1,0,3,0,0,0,LEI,24,13/02/2021,FWD,False
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,MID,False
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,1,75,0,1,0,0,0,0,1,0,0,1,0,LEI,24,13/02/2021,MID,False
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,1,90,0,0,0,0,0,0,0,3,0,1,0,LEI,24,13/02/2021,DEF,False
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,MID,False
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,1,17,0,1,0,0,0,0,0,0,0,0,0,LEI,24,13/02/2021,MID,False
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,0,15,1,0,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,MID,False
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,GKP,False
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,1,90,0,0,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,DEF,False
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,1,90,0,0,1,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,MID,False
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,0,3,1,0,0,0,0,0,0,0,0,0,0,LEI,24,13/02/2021,MID,False
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,1,87,0,1,0,0,0,0,0,3,0,0,0,LEI,24,13/02/2021,MID,False
