Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,90,5,3,0,6,0,0,3,2,25,13,6.9,13/02/2021
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,90,7,1,2,4,0,0,3,1,16,16,5.6,13/02/2021
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,69,1,0,0,4,0,0,1,0,53,8,8.6,13/02/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,90,6,2,0,6,0,0,1,1,35,14,6.4,13/02/2021
"Laporte  Aymeric Laporte (Manchester City, Defender)",MCI,5.5,90,3,1,0,4,0,0,0,0,20,8,11.3,13/02/2021
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,11,0,0,0,0,0,0,0,2,2,2,5.5,13/02/2021
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,90,8,0,0,0,0,1,1,0,38,17,5.3,13/02/2021
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,90,3,2,0,6,1,1,3,4,29,20,4.5,13/02/2021
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,90,9,3,1,6,0,0,0,1,30,18,5.0,13/02/2021
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,21,0,0,1,0,0,0,0,0,4,4,5.3,13/02/2021
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,90,6,1,0,6,0,0,0,4,9,9,10.0,13/02/2021
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,90,7,4,0,6,0,0,0,1,24,12,7.5,13/02/2021
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,79,5,0,1,6,0,0,0,1,13,13,6.1,13/02/2021
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,26,1,0,0,0,0,0,0,1,2,2,13.0,13/02/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,18,1,1,0,0,0,0,0,4,7,7,2.6,13/02/2021
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,90,4,4,2,4,0,0,0,0,12,12,7.5,13/02/2021
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,90,3,5,0,4,0,0,1,1,11,11,8.2,13/02/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,7,4,0,6,0,0,0,0,10,10,9.0,13/02/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,2,4,0,0,0,0,1,2,2,2,45.0,13/02/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,72,6,1,0,4,0,0,0,2,4,4,18.0,13/02/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,5,0,0,0,0,0,0,0,13,13,6.9,13/02/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,64,4,0,0,0,0,0,0,2,6,6,10.7,13/02/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,45,1,0,0,0,0,0,0,0,2,2,22.5,13/02/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,45,4,0,0,0,0,0,0,3,6,6,7.5,13/02/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,2,0,0,2,0,0,0,2,7,7,12.9,13/02/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,1,6,1,4,0,0,0,0,12,12,7.5,13/02/2021
"Tanganga  Japhet Tanganga (Tottenham Hotspur, Defender)",TOT,4.5,90,7,2,0,4,1,0,0,3,13,13,6.9,13/02/2021
