Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,76,3,1,1,4,0,0,0,0,13,13,5.8,21/02/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,67,3,0,0,0,0,0,1,2,6,6,11.2,21/02/2021
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,90,6,6,4,2,1,0,1,0,19,19,4.7,21/02/2021
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,23,1,0,0,0,0,0,0,0,-1,-1,0.0,21/02/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,0,5,0,4,0,0,1,0,9,9,10.0,21/02/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,7,0,0,0,0,0,0,0,15,15,6.0,21/02/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,3,2,0,2,1,0,0,0,14,5,18.0,21/02/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,9,4,0,2,0,0,0,0,12,12,7.5,21/02/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,14,0,1,0,0,0,0,0,0,3,3,4.7,21/02/2021
"Sanson  Morgan Sanson (Aston Villa, Midfielder)",AVL,5.0,9,1,0,0,0,0,0,0,0,2,2,4.5,21/02/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,81,2,2,0,4,1,1,1,1,11,11,7.4,21/02/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,7,2,1,2,2,0,2,1,17,17,5.3,21/02/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,90,3,1,0,0,0,0,0,3,22,4,22.5,21/02/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,2,1,2,0,0,0,1,2,5,5,18.0,21/02/2021
"Amartey  Daniel Amartey (Leicester City, Defender)",LEI,4.0,14,0,1,0,0,0,0,0,0,3,3,4.7,21/02/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,76,2,1,2,4,0,0,2,0,13,13,5.8,21/02/2021
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,90,6,2,1,4,0,0,4,1,46,16,5.6,21/02/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,3,7,3,2,0,0,1,0,16,16,5.6,21/02/2021
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,2,2,0,0,0,0,0,0,0,3,3,0.7,21/02/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,4,4,0,4,0,0,1,0,13,13,6.9,21/02/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,64,3,1,0,6,0,0,0,2,30,12,5.3,21/02/2021
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,26,2,0,0,0,0,0,0,0,1,1,26.0,21/02/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,90,6,5,2,6,0,0,0,0,13,13,6.9,21/02/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,5,1,0,0,0,0,0,0,10,10,9.0,21/02/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,3,8,0,4,1,0,0,0,15,15,6.0,21/02/2021
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,90,4,5,1,4,0,0,1,0,12,12,7.5,21/02/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,88,4,2,1,4,0,0,3,1,14,14,6.3,21/02/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,4,1,0,0,0,0,0,0,13,4,22.5,21/02/2021
