Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,DEF,True
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,DEF,True
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,DEF,True
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,GKP,True
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,1,78,0,1,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,MID,True
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,0,1,1,0,0,0,0,0,0,0,0,0,0,SHU,25,20/02/2021,FWD,True
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,0,4,1,0,0,0,0,0,0,0,0,0,0,SHU,25,20/02/2021,MID,True
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,MID,True
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,1,89,0,1,1,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,MID,True
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,1,86,0,1,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,FWD,True
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,MID,True
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,25,20/02/2021,DEF,True
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,0,12,1,0,0,0,0,0,0,0,0,0,0,SHU,25,20/02/2021,DEF,True
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,1,0,0,1,0,SHU,25,20/02/2021,MID,True
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,DEF,False
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,1,0,FUL,25,20/02/2021,DEF,False
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,1,51,0,1,0,0,0,0,0,0,0,0,0,FUL,25,20/02/2021,DEF,False
"Bogle  Jayden Bogle (Sheffield United, Defender)",SHU,4.3,0,10,1,0,0,0,0,0,0,0,0,0,0,FUL,25,20/02/2021,DEF,False
"Bryan (Kean)  Kean Bryan (Sheffield United, Defender)",SHU,3.9,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,DEF,False
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,MID,False
"Jagielka  Phil Jagielka (Sheffield United, Defender)",SHU,3.9,1,80,0,1,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,DEF,False
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,1,74,0,1,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,MID,False
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,FWD,False
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,0,16,1,0,0,0,0,0,0,0,0,1,0,FUL,25,20/02/2021,FWD,False
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,0,39,1,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,MID,False
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,GKP,False
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,FWD,False
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,25,20/02/2021,DEF,False
