Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,28,1,0,0,0,1,1,0,0,0,0,0,LIV,25,20/02/2021,FWD,False
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,DEF,False
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,MID,False
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,DEF,False
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,MID,False
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,DEF,False
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,DEF,False
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,4,1,0,0,0,0,0,0,0,0,0,0,LIV,25,20/02/2021,MID,False
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,DEF,False
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,GKP,False
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,1,62,0,1,0,1,0,1,1,0,0,0,0,LIV,25,20/02/2021,MID,False
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,31,1,0,1,0,0,0,0,0,0,0,0,LIV,25,20/02/2021,MID,False
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,1,59,0,1,0,0,0,0,0,0,0,1,0,LIV,25,20/02/2021,MID,False
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,86,0,1,1,0,0,0,1,0,0,0,0,LIV,25,20/02/2021,FWD,False
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,1,87,0,1,0,0,0,0,0,2,0,0,0,EVE,25,20/02/2021,MID,True
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,1,90,0,0,0,0,0,0,0,2,0,0,0,EVE,25,20/02/2021,DEF,True
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,1,90,0,0,0,0,0,0,0,2,0,0,0,EVE,25,20/02/2021,FWD,True
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,1,30,0,1,0,0,0,0,0,1,0,0,0,EVE,25,20/02/2021,MID,True
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,1,63,0,1,0,0,0,0,0,1,0,0,0,EVE,25,20/02/2021,MID,True
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,1,90,0,0,0,0,0,0,0,2,0,1,0,EVE,25,20/02/2021,DEF,True
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,1,90,0,0,0,0,0,0,0,2,0,1,0,EVE,25,20/02/2021,MID,True
"Origi  Divock Origi (Liverpool, Forward)",LIV,5.0,0,3,1,0,0,0,0,0,0,0,0,0,0,EVE,25,20/02/2021,FWD,True
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,0,60,1,0,0,0,0,0,0,1,0,0,0,EVE,25,20/02/2021,DEF,True
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,1,90,0,0,0,0,0,0,0,2,0,0,0,EVE,25,20/02/2021,GKP,True
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,1,90,0,0,0,0,0,0,0,2,0,0,0,EVE,25,20/02/2021,DEF,True
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,1,90,0,0,0,0,0,0,0,2,0,0,0,EVE,25,20/02/2021,MID,True
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,0,27,1,0,0,0,0,0,0,1,0,0,0,EVE,25,20/02/2021,MID,True
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,1,90,0,0,0,0,0,0,0,2,0,0,0,EVE,25,20/02/2021,MID,True
