Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Alonso  Marcos Alonso (Chelsea, Defender)",CHE,5.5,0,0.09,-0.09,1000.0,0,0.15,-0.15,600.0,0.24,-0.24,375.0,20/02/2021
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,20/02/2021
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,0,0.02,-0.02,1550.0,0,0.0,0.0,inf,0.02,-0.02,1550.0,20/02/2021
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,0.26,-0.26,346.2,0,0.06,-0.06,1500.0,0.32,-0.32,281.3,20/02/2021
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,20/02/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,0.02,-0.02,3800.0,0,0.0,0.0,inf,0.02,-0.02,3800.0,20/02/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,0.19,-0.19,473.7,1,0.8,0.2,112.5,0.99,0.01,90.9,20/02/2021
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,0,0.02,-0.02,4500.0,0,0.07,-0.07,1285.7,0.09,-0.09,1000.0,20/02/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,20/02/2021
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,0,0.07,-0.07,1285.7,0.08,-0.08,1125.0,20/02/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.09,-0.09,1000.0,0.09,-0.09,1000.0,20/02/2021
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,20/02/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.01,-0.01,8500.0,0,0.07,-0.07,1214.3,0.08,-0.08,1062.5,20/02/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Minamino  Takumi Minamino (Southampton, Midfielder)",SOU,5.5,0,0.01,-0.01,7600.0,1,0.39,0.61,194.9,0.4,0.6,190.0,20/02/2021
"N'Lundulu  Daniel N&#039;Lundulu (Southampton, Forward)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,1,0.17,0.83,523.5,0,0.0,0.0,inf,0.17,0.83,523.5,20/02/2021
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/02/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,0,0.0,0.0,inf,0,0.04,-0.04,2250.0,0.04,-0.04,2250.0,20/02/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.12,-0.12,750.0,0,0.0,0.0,inf,0.12,-0.12,750.0,20/02/2021
