Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,0,13,1,0,0,0,0,0,0,0,0,0,0,WHU,25,21/02/2021,MID,False
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,0,45,1,0,0,1,0,1,0,1,0,0,0,WHU,25,21/02/2021,MID,False
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WHU,25,21/02/2021,DEF,False
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,0,45,1,0,0,0,0,0,0,1,0,0,0,WHU,25,21/02/2021,DEF,False
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,0,2,0,1,0,WHU,25,21/02/2021,MID,False
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WHU,25,21/02/2021,FWD,False
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,1,45,0,1,0,0,0,0,0,1,0,1,0,WHU,25,21/02/2021,MID,False
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WHU,25,21/02/2021,GKP,False
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WHU,25,21/02/2021,MID,False
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,1,77,0,1,0,0,0,0,0,2,0,1,0,WHU,25,21/02/2021,DEF,False
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,1,90,0,0,1,0,0,0,0,2,0,0,0,WHU,25,21/02/2021,MID,False
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WHU,25,21/02/2021,MID,False
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WHU,25,21/02/2021,DEF,False
"Tanganga  Japhet Tanganga (Tottenham Hotspur, Defender)",TOT,4.5,1,45,0,1,0,0,0,0,0,1,0,0,0,WHU,25,21/02/2021,DEF,False
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,1,90,0,0,1,0,0,0,0,1,0,1,0,TOT,25,21/02/2021,FWD,True
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,25,1,0,0,0,0,0,0,0,0,0,0,TOT,25,21/02/2021,MID,True
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,1,65,0,1,0,0,0,0,0,1,0,0,0,TOT,25,21/02/2021,MID,True
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,TOT,25,21/02/2021,DEF,True
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,TOT,25,21/02/2021,DEF,True
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,TOT,25,21/02/2021,DEF,True
"Diop  Issa Diop (West Ham United, Defender)",WHU,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,TOT,25,21/02/2021,DEF,True
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,TOT,25,21/02/2021,GKP,True
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,1,81,0,1,0,1,0,1,0,1,0,1,0,TOT,25,21/02/2021,MID,True
"Johnson (Ben)  Ben Johnson (West Ham United, Defender)",WHU,4.0,0,9,1,0,0,0,0,0,0,0,0,0,0,TOT,25,21/02/2021,DEF,True
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,1,89,0,1,1,0,0,0,0,1,0,0,0,TOT,25,21/02/2021,MID,True
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,TOT,25,21/02/2021,MID,True
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,TOT,25,21/02/2021,MID,True
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,1,90,0,0,0,0,0,0,0,1,0,1,0,TOT,25,21/02/2021,MID,True
