Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,DEF,True
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,1,0,MUN,26,28/02/2021,DEF,True
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,DEF,True
"Giroud  Olivier Giroud (Chelsea, Forward)",CHE,6.5,1,65,0,1,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,FWD,True
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,1,45,0,1,0,0,0,0,0,0,0,0,0,MUN,26,28/02/2021,MID,True
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,45,1,0,0,0,0,0,0,0,0,0,0,MUN,26,28/02/2021,DEF,True
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,MID,True
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,MID,True
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,GKP,True
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,90,0,0,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,MID,True
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,25,1,0,0,0,0,0,0,0,0,0,0,MUN,26,28/02/2021,MID,True
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,DEF,True
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,12,1,0,0,0,0,0,0,0,0,0,0,MUN,26,28/02/2021,FWD,True
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,1,78,0,1,0,0,0,0,1,0,0,0,0,MUN,26,28/02/2021,MID,True
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,MID,False
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,GKP,False
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,1,79,0,1,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,MID,False
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,MID,False
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,1,90,0,0,0,0,0,0,1,0,0,1,0,CHE,26,28/02/2021,DEF,False
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,0,11,1,0,0,0,0,0,0,0,0,0,0,CHE,26,28/02/2021,FWD,False
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,MID,False
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,DEF,False
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,MID,False
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,CHE,26,28/02/2021,MID,False
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,DEF,False
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,26,28/02/2021,DEF,False
