Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,90,5,0,3,0,0,0,0,3,15,15,6.0,03/03/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,90,1,4,0,0,0,0,2,1,4,4,22.5,03/03/2021
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,90,4,7,0,4,0,0,0,0,25,13,6.9,03/03/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,84,3,1,1,0,0,0,0,4,11,11,7.6,03/03/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,6,0,0,0,0,0,0,0,22,10,9.0,03/03/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,5,5,2,2,0,0,0,0,15,15,6.0,03/03/2021
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,62,2,2,1,0,1,0,1,0,11,11,5.6,03/03/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,90,7,2,0,4,0,1,1,0,17,17,5.3,03/03/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,28,1,0,1,0,0,0,0,0,1,1,28.0,03/03/2021
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,6,0,2,0,0,0,0,0,0,4,4,1.5,03/03/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,90,6,2,0,0,1,0,1,0,9,9,10.0,03/03/2021
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,90,7,2,3,0,0,0,0,2,26,14,6.4,03/03/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,90,8,10,0,4,0,0,0,0,29,17,5.3,03/03/2021
"Bailly  Eric Bailly (Manchester United, Defender)",MUN,5.0,90,8,1,0,4,0,0,0,2,25,13,6.9,03/03/2021
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,90,4,1,1,4,2,0,4,2,13,13,6.9,03/03/2021
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,76,2,0,0,0,0,0,1,1,4,4,19.0,03/03/2021
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,90,7,0,1,4,1,0,0,3,14,14,6.4,03/03/2021
"Henderson (Dean)  Dean Henderson (Manchester United, Goalkeeper)",MUN,5.0,90,5,1,0,0,0,0,0,0,23,11,8.2,03/03/2021
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,14,0,0,0,0,0,0,0,0,2,2,7.0,03/03/2021
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,90,3,10,0,4,0,0,0,0,25,13,6.9,03/03/2021
"Matic  Nemanja Matic (Manchester United, Midfielder)",MUN,4.5,90,6,5,0,6,0,0,0,0,15,15,6.0,03/03/2021
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,16,3,0,0,0,0,0,0,1,5,5,3.2,03/03/2021
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,90,0,0,1,4,1,0,2,1,9,9,10.0,03/03/2021
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,74,5,2,0,4,0,0,1,0,9,9,8.2,03/03/2021
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,90,3,1,0,4,2,0,2,1,22,10,9.0,03/03/2021
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,90,5,3,1,2,1,0,0,0,22,10,9.0,03/03/2021
