Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,4,3,0,0,0,0,0,1,1,1,90.0,01/03/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,3,3,1,2,0,0,1,0,23,11,8.2,01/03/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,90,8,4,0,0,0,0,0,3,11,11,8.2,01/03/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,4,4,0,6,0,0,0,0,26,14,6.4,01/03/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,90,6,7,1,0,0,0,0,1,21,9,10.0,01/03/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,3,0,0,0,0,0,0,0,3,1,1,3.0,01/03/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,4,9,1,4,0,0,0,2,29,17,5.3,01/03/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,1,0,0,0,0,0,0,0,0,3,3,0.3,01/03/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,90,13,2,0,4,0,0,0,0,11,11,8.2,01/03/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,6,0,0,2,0,0,0,0,25,13,6.9,01/03/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,90,3,1,0,0,0,2,4,0,27,18,5.0,01/03/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,87,5,1,1,2,0,0,0,3,7,7,12.4,01/03/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,89,5,2,1,0,0,0,0,1,28,1,89.0,01/03/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,77,1,1,0,0,0,0,0,1,4,4,19.3,01/03/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,90,4,3,2,4,0,1,1,1,13,13,6.9,01/03/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,5,9,0,4,0,0,0,0,13,13,6.9,01/03/2021
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,90,4,0,0,4,0,0,0,0,10,10,9.0,01/03/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,90,6,3,0,0,0,0,0,1,1,1,90.0,01/03/2021
"Forster  Fraser Forster (Southampton, Goalkeeper)",SOU,4.5,90,12,0,0,0,0,0,0,0,10,10,9.0,01/03/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,90,7,1,0,0,0,0,0,0,4,4,22.5,01/03/2021
"N'Lundulu  Daniel N&#039;Lundulu (Southampton, Forward)",SOU,4.5,13,0,0,0,0,0,0,0,0,3,3,4.3,01/03/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,88,5,2,0,0,0,0,0,1,4,4,22.0,01/03/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,63,5,2,0,0,0,0,0,0,6,6,10.5,01/03/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,27,4,1,1,0,0,0,0,0,1,1,27.0,01/03/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,90,3,9,0,4,0,0,0,0,10,10,9.0,01/03/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,6,2,3,4,0,0,1,0,19,19,4.7,01/03/2021
"Watts  Caleb Watts (Southampton, Midfielder)",SOU,4.5,2,1,0,0,0,0,0,0,0,3,3,0.7,01/03/2021
