Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,90,4,5,2,4,0,0,0,0,8,8,11.3,04/03/2021
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,90,2,2,1,4,1,0,2,6,18,18,5.0,04/03/2021
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,90,10,6,0,4,1,0,1,1,16,16,5.6,04/03/2021
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,90,6,0,0,0,0,0,0,0,12,12,7.5,04/03/2021
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,15,2,0,0,0,0,0,0,0,3,3,5.0,04/03/2021
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,71,2,0,0,0,1,0,2,0,7,7,10.1,04/03/2021
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,90,8,1,0,6,0,0,0,1,8,8,11.3,04/03/2021
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,64,4,0,0,0,0,0,0,2,3,3,21.3,04/03/2021
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,90,6,0,0,2,0,0,2,4,4,4,22.5,04/03/2021
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,90,1,0,0,0,0,0,1,1,6,6,15.0,04/03/2021
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,19,0,0,0,0,0,0,0,0,3,3,6.3,04/03/2021
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,90,14,4,0,4,0,0,1,0,10,10,9.0,04/03/2021
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,75,4,3,2,2,0,0,0,4,15,15,5.0,04/03/2021
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,26,4,0,0,0,0,0,0,0,1,1,26.0,04/03/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,5,6,0,2,0,0,0,0,23,11,8.2,04/03/2021
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,67,7,2,0,0,1,0,2,1,14,5,13.4,04/03/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,68,3,3,2,0,0,0,0,3,6,6,11.3,04/03/2021
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,90,2,6,1,0,0,0,0,0,23,11,8.2,04/03/2021
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,90,3,6,0,2,0,0,0,0,24,12,7.5,04/03/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,9,3,0,0,0,0,0,0,8,8,11.3,04/03/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,4,0,0,0,0,0,1,1,1,1,90.0,04/03/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,15,0,0,0,0,0,1,1,2,8,8,1.9,04/03/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,9,1,0,0,0,0,0,0,27,15,6.0,04/03/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,75,5,1,0,6,0,0,0,2,10,10,7.5,04/03/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,22,1,0,0,0,0,0,0,0,2,2,11.0,04/03/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,23,3,3,0,0,0,0,0,0,4,4,5.8,04/03/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,4,1,1,0,0,2,2,1,15,15,6.0,04/03/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,6,7,2,2,0,0,0,0,29,17,5.3,04/03/2021
