Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Cedric  Cedric Ricardo Alves Soares (Arsenal, Defender)",ARS,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,DEF,False
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,0,6,1,0,0,0,0,0,0,0,0,0,0,LEI,26,28/02/2021,MID,False
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,1,90,0,0,0,1,1,2,0,1,0,0,0,LEI,26,28/02/2021,MID,False
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,1,66,0,1,0,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,MID,False
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,1,84,0,1,1,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,FWD,False
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,GKP,False
"Luiz  David Luiz Moreira Marinho (Arsenal, Defender)",ARS,5.4,1,90,0,0,1,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,DEF,False
"Marí  Pablo Marí (Arsenal, Defender)",ARS,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,DEF,False
"Odegaard  Martin Odegaard (Arsenal, Midfielder)",ARS,5.6,0,48,1,0,0,0,0,0,0,0,0,0,0,LEI,26,28/02/2021,MID,False
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,0,24,1,0,0,0,0,0,0,0,0,0,0,LEI,26,28/02/2021,MID,False
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,1,90,0,0,1,0,1,1,0,1,0,0,0,LEI,26,28/02/2021,MID,False
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,1,42,0,1,0,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,MID,False
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,LEI,26,28/02/2021,DEF,False
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,26,28/02/2021,MID,False
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,0,45,1,0,0,0,0,0,0,2,0,0,0,ARS,26,28/02/2021,MID,True
"Amartey  Daniel Amartey (Leicester City, Defender)",LEI,4.0,0,21,1,0,0,0,0,0,0,0,0,0,0,ARS,26,28/02/2021,DEF,True
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,1,90,0,0,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,DEF,True
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,1,51,0,1,0,0,0,0,0,2,0,0,0,ARS,26,28/02/2021,MID,True
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,1,90,0,0,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,DEF,True
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,1,69,0,1,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,DEF,True
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,1,90,0,0,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,FWD,True
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,MID,True
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,GKP,True
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,DEF,True
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,1,45,0,1,0,0,0,0,0,1,0,1,0,ARS,26,28/02/2021,DEF,True
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,1,90,0,0,1,0,0,0,0,3,0,1,0,ARS,26,28/02/2021,MID,True
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,1,90,0,0,0,0,0,0,0,3,0,0,0,ARS,26,28/02/2021,FWD,True
"Ünder  Cengiz Ünder (Leicester City, Midfielder)",LEI,5.7,0,39,1,0,0,0,0,0,0,1,0,0,0,ARS,26,28/02/2021,MID,True
