Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,0,0.35,-0.35,257.1,0,0.03,-0.03,3000.0,0.38,-0.38,236.8,04/03/2021
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,0,0.04,-0.04,2250.0,0,0.05,-0.05,1800.0,0.09,-0.09,1000.0,04/03/2021
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/03/2021
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,04/03/2021
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/03/2021
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,04/03/2021
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,1,0.02,0.98,4500.0,0,0.04,-0.04,2250.0,0.06,0.94,1500.0,04/03/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/03/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/03/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,0.16,-0.16,506.3,1,0.13,0.87,623.1,0.29,0.71,279.3,04/03/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,0.01,-0.01,2400.0,0,0.0,0.0,inf,0.01,-0.01,2400.0,04/03/2021
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/03/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,0.01,-0.01,8900.0,0,0.57,-0.57,156.1,0.58,-0.58,153.4,04/03/2021
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,0,0.03,-0.03,2200.0,0,0.14,-0.14,471.4,0.17,-0.17,388.2,04/03/2021
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,0,0.03,-0.03,2666.7,0,0.0,0.0,inf,0.03,-0.03,2666.7,04/03/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,0,0.31,-0.31,290.3,0,0.02,-0.02,4500.0,0.33,-0.33,272.7,04/03/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,0.03,-0.03,3000.0,0,0.05,-0.05,1800.0,0.08,-0.08,1125.0,04/03/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,0,0.14,-0.14,442.9,0,0.03,-0.03,2066.7,0.17,-0.17,364.7,04/03/2021
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,04/03/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,04/03/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/03/2021
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,0,0.01,-0.01,2800.0,0,0.0,0.0,inf,0.01,-0.01,2800.0,04/03/2021
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/03/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,0,0.08,-0.08,1125.0,0,0.03,-0.03,3000.0,0.11,-0.11,818.2,04/03/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,0,0.17,-0.17,364.7,0,0.03,-0.03,2066.7,0.2,-0.2,310.0,04/03/2021
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,0,0.0,0.0,inf,0,0.06,-0.06,1500.0,0.06,-0.06,1500.0,04/03/2021
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,0,0.01,-0.01,2800.0,0,0.0,0.0,inf,0.01,-0.01,2800.0,04/03/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,04/03/2021
