Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,61,1,1,0,0,0,0,1,0,3,3,20.3,27/02/2021
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,90,4,2,2,2,1,1,2,4,31,22,4.1,27/02/2021
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,25,2,0,1,0,0,0,1,1,5,5,5.0,27/02/2021
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,90,7,7,0,6,0,0,0,0,29,17,5.3,27/02/2021
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,89,4,0,0,6,0,0,0,0,13,13,6.8,27/02/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,1,0,0,0,0,0,0,0,0,3,3,0.3,27/02/2021
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,90,9,5,0,4,0,0,1,1,12,12,7.5,27/02/2021
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,90,4,0,0,6,0,0,1,0,21,12,7.5,27/02/2021
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,90,6,0,0,4,0,0,0,0,16,16,5.6,27/02/2021
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,90,4,5,0,6,0,0,0,0,29,14,6.4,27/02/2021
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,65,3,1,0,0,0,0,0,2,4,4,16.3,27/02/2021
"Walker (Kyle)  Kyle Walker (Manchester City, Defender)",MCI,5.5,90,2,0,2,6,0,0,0,0,13,13,6.9,27/02/2021
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,90,10,5,0,6,0,0,2,0,19,19,4.7,27/02/2021
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,29,1,0,1,0,0,0,0,0,1,1,29.0,27/02/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,84,1,0,0,0,0,0,0,0,27,3,28.0,27/02/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,6,1,0,0,0,0,0,0,0,3,3,2.0,27/02/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,6,1,0,0,0,0,0,0,0,2,2,3.0,27/02/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,7,3,2,2,0,1,2,0,15,15,6.0,27/02/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,5,3,0,2,0,0,2,0,11,11,8.2,27/02/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,90,4,8,0,4,0,0,0,0,12,12,7.5,27/02/2021
"Diop  Issa Diop (West Ham United, Defender)",WHU,4.5,90,5,6,0,4,0,0,0,0,10,10,9.0,27/02/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,90,8,4,2,4,0,0,1,2,18,18,5.0,27/02/2021
"Johnson (Ben)  Ben Johnson (West Ham United, Defender)",WHU,4.0,84,6,2,1,0,0,0,0,0,5,5,16.8,27/02/2021
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,90,6,1,0,2,2,2,2,1,23,14,6.4,27/02/2021
"Randolph  Darren Randolph (West Ham United, Goalkeeper)",WHU,4.5,90,4,1,0,0,0,0,0,0,10,10,9.0,27/02/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,6,4,1,6,0,0,0,0,17,17,5.3,27/02/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,4,10,0,2,0,0,1,0,11,11,8.2,27/02/2021
