Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,90,7,2,2,4,0,1,2,3,22,22,4.1,02/03/2021
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,90,4,0,1,4,0,0,1,1,12,12,7.5,02/03/2021
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,90,3,2,0,6,0,0,0,0,13,13,6.9,02/03/2021
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,8,2,0,0,0,0,0,0,0,12,3,2.7,02/03/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,90,12,2,1,6,0,0,2,2,20,20,4.5,02/03/2021
"Laporte  Aymeric Laporte (Manchester City, Defender)",MCI,5.5,90,4,3,1,6,0,0,0,0,14,14,6.4,02/03/2021
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,90,4,1,0,6,2,0,3,5,45,18,5.0,02/03/2021
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,90,6,1,0,0,0,0,0,0,8,8,11.3,02/03/2021
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,90,5,1,0,4,0,0,1,1,4,4,22.5,02/03/2021
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,82,3,0,0,6,0,1,2,0,13,13,6.3,02/03/2021
"Walker (Kyle)  Kyle Walker (Manchester City, Defender)",MCI,5.5,90,7,0,2,6,0,0,0,3,19,19,4.7,02/03/2021
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,90,3,0,1,0,0,0,2,1,53,2,45.0,02/03/2021
"Jonny  Jonathan Castro Otto (Wolverhampton Wanderers, Defender)",WOL,4.5,56,2,2,0,0,0,0,0,0,4,4,14.0,02/03/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,1,8,1,6,0,0,0,0,29,17,5.3,02/03/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,5,10,2,0,0,0,0,0,7,7,12.9,02/03/2021
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,90,2,3,0,0,0,0,0,2,4,4,22.5,02/03/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,7,3,0,4,0,0,2,2,25,16,5.6,02/03/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,90,5,1,0,0,1,0,2,3,3,3,30.0,02/03/2021
"Otasowie  Owen Otasowie (Wolverhampton Wanderers, Midfielder)",WOL,4.5,1,0,0,0,0,0,0,0,0,2,2,0.5,02/03/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,6,6,2,4,0,0,0,0,19,19,4.7,02/03/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,7,4,0,0,0,0,0,1,8,8,11.3,02/03/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,34,0,0,0,0,0,0,0,1,3,3,11.3,02/03/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,3,1,1,0,0,0,0,3,10,10,9.0,02/03/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,89,6,1,1,4,0,0,0,0,14,14,6.4,02/03/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,9,0,0,0,0,0,0,0,24,24,3.8,02/03/2021
