Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,45,2,0,1,0,0,0,1,1,1,1,45.0,27/02/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,90,5,0,2,0,0,0,2,0,7,7,12.9,27/02/2021
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,90,3,3,1,4,0,0,0,0,9,9,10.0,27/02/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,90,5,0,0,0,0,0,0,0,13,13,6.9,27/02/2021
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,45,1,0,0,0,1,0,3,0,15,6,7.5,27/02/2021
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,90,3,2,1,0,1,0,0,1,6,6,15.0,27/02/2021
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,72,4,3,0,0,0,0,0,0,19,7,10.3,27/02/2021
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,90,4,9,0,4,0,0,0,0,26,14,6.4,27/02/2021
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,90,7,4,0,4,0,0,0,1,14,14,6.4,27/02/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,27,1,1,0,0,0,1,1,3,8,8,3.4,27/02/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,18,2,1,0,0,0,0,0,0,2,2,9.0,27/02/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,63,1,1,0,0,0,1,4,4,9,9,7.0,27/02/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,90,6,3,1,4,0,1,3,0,20,20,4.5,27/02/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,90,4,5,2,0,1,0,2,2,10,10,9.0,27/02/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,27/02/2021
"Jonny  Jonathan Castro Otto (Wolverhampton Wanderers, Defender)",WOL,4.5,89,6,2,0,2,0,0,1,1,7,7,12.7,27/02/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,5,3,0,4,0,0,0,0,12,12,7.5,27/02/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,82,1,1,1,0,0,0,1,0,4,4,20.5,27/02/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,0,4,0,2,0,0,0,0,9,9,10.0,27/02/2021
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,5,2,0,0,0,0,0,0,0,3,3,1.7,27/02/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,9,1,0,4,0,0,1,0,11,11,8.2,27/02/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,90,5,1,0,6,3,1,3,2,23,14,6.4,27/02/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,0,5,0,4,0,0,0,0,11,11,8.2,27/02/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,85,6,1,0,4,0,0,0,1,10,10,8.5,27/02/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,8,0,1,0,0,0,0,0,0,0,0,0.0,27/02/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,6,1,1,0,2,1,4,14,26,26,3.5,27/02/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,4,4,0,4,0,0,2,1,30,12,7.5,27/02/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,8,0,0,0,0,0,0,0,18,18,5.0,27/02/2021
