Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.02,-0.02,2250.0,0,0.31,-0.31,145.2,0.33,-0.33,136.4,27/02/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.01,-0.01,9000.0,0,0.41,-0.41,219.5,0.42,-0.42,214.3,27/02/2021
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.06,-0.06,1500.0,0.06,-0.06,1500.0,27/02/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/02/2021
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,1,0.21,0.79,214.3,0,0.03,-0.03,1500.0,0.24,0.76,187.5,27/02/2021
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.11,-0.11,818.2,0.12,-0.12,750.0,27/02/2021
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.02,-0.02,3600.0,0.02,-0.02,3600.0,27/02/2021
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,1,0.09,0.91,1000.0,0.09,0.91,1000.0,27/02/2021
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,27/02/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,0,0.13,-0.13,207.7,0,0.07,-0.07,385.7,0.2,-0.2,135.0,27/02/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,0,0.01,-0.01,1800.0,0,0.02,-0.02,900.0,0.03,-0.03,600.0,27/02/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,0.19,-0.19,331.6,0,0.07,-0.07,900.0,0.26,-0.26,242.3,27/02/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,0,0.09,-0.09,1000.0,0,0.08,-0.08,1125.0,0.17,-0.17,529.4,27/02/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,0,0.12,-0.12,750.0,0,0.36,-0.36,250.0,0.48,-0.48,187.5,27/02/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/02/2021
"Jonny  Jonathan Castro Otto (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.02,-0.02,4450.0,0,0.05,-0.05,1780.0,0.07,-0.07,1271.4,27/02/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/02/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,0,0.02,-0.02,4100.0,0,0.0,0.0,inf,0.02,-0.02,4100.0,27/02/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/02/2021
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,0,0.04,-0.04,125.0,0,0.0,0.0,inf,0.04,-0.04,125.0,27/02/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,27/02/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,1,0.58,0.42,155.2,0,0.5,-0.5,180.0,1.08,-0.08,83.3,27/02/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/02/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.01,-0.01,8500.0,0,0.0,0.0,inf,0.01,-0.01,8500.0,27/02/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,0,0.0,0.0,inf,0,0.28,-0.28,28.6,0.28,-0.28,28.6,27/02/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,0,0.13,-0.13,692.3,0,0.12,-0.12,750.0,0.25,-0.25,360.0,27/02/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,0,0.14,-0.14,642.9,1,0.18,0.82,500.0,0.32,0.68,281.3,27/02/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/02/2021
