Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,0,0.05,-0.05,1520.0,0,0.0,0.0,inf,0.05,-0.05,1520.0,28/02/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,0,0.2,-0.2,450.0,0,0.15,-0.15,600.0,0.35,-0.35,257.1,28/02/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,0.13,-0.13,692.3,0,0.45,-0.45,200.0,0.58,-0.58,155.2,28/02/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,0,0.04,-0.04,2000.0,1,1.06,-0.06,75.5,1.1,-0.1,72.7,28/02/2021
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/02/2021
"Keita  Naby Keita (Liverpool, Midfielder)",LIV,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/02/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,28/02/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/02/2021
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,0,0.0,0.0,inf,0,0.1,-0.1,900.0,0.1,-0.1,900.0,28/02/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,0,0.56,-0.56,160.7,0,0.09,-0.09,1000.0,0.65,-0.65,138.5,28/02/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,0,0.1,-0.1,900.0,0,0.78,-0.78,115.4,0.88,-0.88,102.3,28/02/2021
"Adrián  Adrián San Miguel del Castillo (Liverpool, Goalkeeper)",LIV,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/02/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,0,0.03,-0.03,3000.0,0,0.05,-0.05,1800.0,0.08,-0.08,1125.0,28/02/2021
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,28/02/2021
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,28/02/2021
"Bryan (Kean)  Kean Bryan (Sheffield United, Defender)",SHU,3.9,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,28/02/2021
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,0,0.01,-0.01,3400.0,0,0.26,-0.26,130.8,0.27,-0.27,125.9,28/02/2021
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,0,0.01,-0.01,8000.0,0,0.03,-0.03,2666.7,0.04,-0.04,2000.0,28/02/2021
"Jagielka  Phil Jagielka (Sheffield United, Defender)",SHU,3.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/02/2021
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,28/02/2021
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,0,0.02,-0.02,4500.0,0,0.24,-0.24,375.0,0.26,-0.26,346.2,28/02/2021
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,0,0.01,-0.01,5600.0,0,0.14,-0.14,400.0,0.15,-0.15,373.3,28/02/2021
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,0,0.31,-0.31,290.3,0,0.02,-0.02,4500.0,0.33,-0.33,272.7,28/02/2021
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,0,0.01,-0.01,3400.0,0,0.0,0.0,inf,0.01,-0.01,3400.0,28/02/2021
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/02/2021
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/02/2021
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.01,-0.01,9000.0,0,0.05,-0.05,1800.0,0.06,-0.06,1500.0,28/02/2021
