Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,MID,False
"Cork  Jack Cork (Burnley, Midfielder)",BUR,4.5,1,81,0,1,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,MID,False
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,DEF,False
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,MID,False
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,DEF,False
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,GKP,False
"Richardson  Lewis Richardson (Burnley, Midfielder)",BUR,4.5,0,2,1,0,0,0,0,0,0,0,0,0,0,TOT,26,28/02/2021,MID,False
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,1,88,0,1,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,FWD,False
"Stephens (Dale)  Dale Stephens (Burnley, Midfielder)",BUR,4.5,0,9,1,0,0,0,0,0,0,0,0,0,0,TOT,26,28/02/2021,MID,False
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,DEF,False
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,DEF,False
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,1,73,0,1,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,FWD,False
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,26,28/02/2021,MID,False
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,0,17,1,0,0,0,0,0,0,0,0,0,0,TOT,26,28/02/2021,FWD,False
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,DEF,True
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,0,24,1,0,0,0,0,0,0,0,0,0,0,BUR,26,28/02/2021,MID,True
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,1,81,0,1,0,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,DEF,True
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,1,70,0,1,2,1,0,1,1,0,0,0,0,BUR,26,28/02/2021,MID,True
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,0,9,1,0,0,0,0,0,0,0,0,0,0,BUR,26,28/02/2021,DEF,True
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,MID,True
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,90,0,0,1,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,FWD,True
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,0,20,1,0,0,0,0,0,0,0,0,0,0,BUR,26,28/02/2021,MID,True
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,GKP,True
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,MID,True
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,1,1,1,0,0,0,0,BUR,26,28/02/2021,DEF,True
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,1,66,0,1,1,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,MID,True
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,90,0,0,0,2,0,2,1,0,0,0,0,BUR,26,28/02/2021,MID,True
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,26,28/02/2021,DEF,True
