Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,84,9,3,0,4,0,0,1,2,17,17,4.9,04/03/2021
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,3,2,0,2,0,0,2,1,6,6,15.0,04/03/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,9,5,2,2,1,0,2,0,30,18,5.0,04/03/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,64,3,1,1,4,0,0,1,1,15,15,4.3,04/03/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,5,9,0,4,0,0,0,0,27,15,6.0,04/03/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,90,5,4,2,6,0,0,0,0,25,13,6.9,04/03/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,58,2,3,0,0,0,0,0,3,6,6,9.7,04/03/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,5,6,1,6,0,0,0,0,30,18,5.0,04/03/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,6,1,1,0,0,0,0,0,1,4,4,1.5,04/03/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,32,1,2,0,0,0,0,0,0,4,4,8.0,04/03/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,8,0,0,2,0,0,0,0,28,16,5.6,04/03/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,26,1,0,0,0,1,1,1,0,17,8,3.3,04/03/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,90,16,4,0,4,0,0,1,2,14,14,6.4,04/03/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,90,7,3,1,0,0,0,0,2,36,9,10.0,04/03/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,90,1,9,0,2,0,1,1,0,15,15,6.0,04/03/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,90,11,3,0,4,0,0,0,1,13,13,6.9,04/03/2021
"Diagne  Mbaye Diagne (West Bromwich Albion, Forward)",WBA,6.0,90,1,0,0,0,0,0,0,4,-7,-7,0.0,04/03/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,4,4,0,0,0,0,1,1,6,6,15.0,04/03/2021
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,78,8,0,0,6,1,1,2,4,20,20,3.9,04/03/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,8,0,0,0,0,0,0,0,12,12,7.5,04/03/2021
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,90,6,6,0,4,0,0,0,1,14,14,6.4,04/03/2021
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,90,6,10,1,0,0,0,1,1,13,13,6.9,04/03/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,78,8,0,0,0,0,0,1,1,4,4,19.5,04/03/2021
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,12,1,0,0,0,0,0,1,0,3,3,4.0,04/03/2021
"Snodgrass  Robert Snodgrass (West Bromwich Albion, Midfielder)",WBA,5.6,12,1,0,0,0,0,0,0,0,3,3,4.0,04/03/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,90,7,6,1,4,1,0,0,0,15,15,6.0,04/03/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,90,9,4,0,6,0,0,1,1,14,14,6.4,04/03/2021
