Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,1,84,0,1,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,MID,False
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,FWD,False
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,DEF,False
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,64,0,1,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,MID,False
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,DEF,False
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,1,90,0,0,0,0,0,0,1,0,0,1,0,WBA,26,04/03/2021,DEF,False
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,1,58,0,1,0,0,0,0,0,0,0,0,0,WBA,26,04/03/2021,MID,False
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,DEF,False
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,0,6,1,0,0,0,0,0,0,0,0,0,0,WBA,26,04/03/2021,FWD,False
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,0,32,1,0,0,0,0,0,0,0,0,0,0,WBA,26,04/03/2021,MID,False
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,GKP,False
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,26,1,0,0,1,0,1,0,0,0,0,0,WBA,26,04/03/2021,MID,False
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,MID,False
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,90,0,0,1,0,0,0,1,0,0,0,0,WBA,26,04/03/2021,FWD,False
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,DEF,True
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,MID,True
"Diagne  Mbaye Diagne (West Bromwich Albion, Forward)",WBA,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,FWD,True
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,26,04/03/2021,DEF,True
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,1,78,0,1,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,MID,True
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,GKP,True
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,DEF,True
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,26,04/03/2021,DEF,True
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,1,78,0,1,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,MID,True
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,0,12,1,0,0,0,0,0,0,0,0,0,0,EVE,26,04/03/2021,FWD,True
"Snodgrass  Robert Snodgrass (West Bromwich Albion, Midfielder)",WBA,5.6,0,12,1,0,0,0,0,0,0,0,0,0,0,EVE,26,04/03/2021,MID,True
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,26,04/03/2021,DEF,True
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,26,04/03/2021,MID,True
