Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,29,0,0,0,0,0,0,1,1,3,3,9.7,06/03/2021
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,12,0,0,0,0,0,0,0,1,2,2,6.0,06/03/2021
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,90,9,4,0,2,1,0,0,0,24,12,7.5,06/03/2021
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,78,2,3,0,0,0,0,1,0,3,3,26.0,06/03/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,2,4,1,6,0,0,0,0,22,10,9.0,06/03/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,4,0,0,0,0,0,0,0,23,11,8.2,06/03/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,6,1,1,4,0,0,2,1,16,16,5.6,06/03/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,5,4,0,2,0,0,0,0,23,11,8.2,06/03/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,7,1,0,0,0,0,0,0,0,2,2,3.5,06/03/2021
"Sanson  Morgan Sanson (Aston Villa, Midfielder)",AVL,5.0,61,7,0,1,0,0,0,0,1,5,5,12.2,06/03/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,3,5,0,2,0,0,0,0,9,9,10.0,06/03/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,6,3,0,2,0,0,0,1,21,9,10.0,06/03/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,83,3,1,0,0,1,1,1,0,10,10,8.3,06/03/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,5,0,1,0,0,0,0,1,2,2,45.0,06/03/2021
"Jonny  Jonathan Castro Otto (Wolverhampton Wanderers, Defender)",WOL,4.5,90,3,4,0,4,0,0,0,0,23,11,8.2,06/03/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,7,11,1,6,0,0,1,0,26,14,6.4,06/03/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,78,6,2,0,0,0,1,1,1,10,10,7.8,06/03/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,6,6,0,4,0,0,1,0,15,15,6.0,06/03/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,6,5,0,4,1,0,2,1,18,18,5.0,06/03/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,90,8,3,0,6,1,1,2,1,14,14,6.4,06/03/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,7,8,1,2,0,0,0,0,22,10,9.0,06/03/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,6,1,1,4,0,0,0,1,19,7,12.9,06/03/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,12,0,0,0,0,0,0,0,0,2,2,6.0,06/03/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,6,1,0,0,0,0,1,4,5,5,18.0,06/03/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,5,4,1,2,0,0,0,0,9,9,10.0,06/03/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,2,0,0,0,0,0,0,0,20,8,11.3,06/03/2021
