Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alonso  Marcos Alonso (Chelsea, Defender)",CHE,5.5,0,0.25,-0.25,360.0,0,0.12,-0.12,750.0,0.37,-0.37,243.2,08/03/2021
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,08/03/2021
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,0,0.11,-0.11,818.2,0,0.0,0.0,inf,0.11,-0.11,818.2,08/03/2021
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,0,0.02,-0.02,4500.0,1,0.84,0.16,107.1,0.86,0.14,104.7,08/03/2021
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,0,0.01,-0.01,9000.0,0,0.39,-0.39,230.8,0.4,-0.4,225.0,08/03/2021
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,0,0.02,-0.02,3300.0,0,0.07,-0.07,942.9,0.09,-0.09,733.3,08/03/2021
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,0.04,-0.04,2250.0,0,0.08,-0.08,1125.0,0.12,-0.12,750.0,08/03/2021
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,0.03,-0.03,333.3,0,0.28,-0.28,35.7,0.31,-0.31,32.3,08/03/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,0.15,-0.15,533.3,0,0.0,0.0,inf,0.15,-0.15,533.3,08/03/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/03/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,0.05,-0.05,480.0,0,0.06,-0.06,400.0,0.11,-0.11,218.2,08/03/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/03/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,0.04,-0.04,2225.0,0,0.58,-0.58,153.4,0.62,-0.62,143.5,08/03/2021
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,0,0.0,0.0,inf,0,0.04,-0.04,2250.0,0.04,-0.04,2250.0,08/03/2021
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,0,0.0,0.0,inf,0,0.05,-0.05,280.0,0.05,-0.05,280.0,08/03/2021
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.0,0.0,inf,0,0.04,-0.04,2250.0,0.04,-0.04,2250.0,08/03/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,0.01,-0.01,3400.0,0,0.03,-0.03,1133.3,0.04,-0.04,850.0,08/03/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,0,0.04,-0.04,2250.0,0,0.11,-0.11,818.2,0.15,-0.15,600.0,08/03/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/03/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,08/03/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.02,-0.02,2800.0,0,0.0,0.0,inf,0.02,-0.02,2800.0,08/03/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/03/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/03/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,08/03/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/03/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,0.04,-0.04,1750.0,0,0.01,-0.01,7000.0,0.05,-0.05,1400.0,08/03/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,0,0.01,-0.01,7600.0,0,0.03,-0.03,2533.3,0.04,-0.04,1900.0,08/03/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.02,-0.02,4500.0,0,0.07,-0.07,1285.7,0.09,-0.09,1000.0,08/03/2021
