Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alonso  Marcos Alonso (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,DEF,True
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,DEF,True
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,DEF,True
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,1,90,0,0,1,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,MID,True
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,1,90,0,0,0,0,2,2,1,0,0,0,0,EVE,27,08/03/2021,MID,True
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,1,66,0,1,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,MID,True
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,DEF,True
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,10,1,0,0,0,0,0,0,0,0,0,0,EVE,27,08/03/2021,MID,True
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,1,80,0,1,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,MID,True
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,GKP,True
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,24,1,0,0,0,0,0,0,0,0,0,0,EVE,27,08/03/2021,MID,True
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,1,1,0,0,0,0,0,0,0,0,0,0,EVE,27,08/03/2021,MID,True
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,1,89,0,1,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,FWD,True
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,27,08/03/2021,DEF,True
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,0,14,1,0,0,0,0,0,0,0,0,0,0,CHE,27,08/03/2021,MID,False
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,27,08/03/2021,FWD,False
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,34,1,0,0,0,0,0,0,1,0,1,0,CHE,27,08/03/2021,MID,False
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,0,0,0,0,2,0,1,0,CHE,27,08/03/2021,DEF,False
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,1,0,0,CHE,27,08/03/2021,DEF,False
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,1,90,0,0,0,0,0,0,0,2,0,1,0,CHE,27,08/03/2021,DEF,False
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,1,56,0,1,0,0,0,0,0,1,0,0,0,CHE,27,08/03/2021,MID,False
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,27,08/03/2021,DEF,False
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,0,20,1,0,0,0,0,0,0,0,0,0,0,CHE,27,08/03/2021,FWD,False
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,27,08/03/2021,MID,False
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,27,08/03/2021,GKP,False
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,1,70,0,1,0,0,0,0,0,2,0,0,0,CHE,27,08/03/2021,MID,False
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,1,76,0,1,0,0,0,0,0,2,0,0,0,CHE,27,08/03/2021,MID,False
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,90,0,0,0,0,0,0,0,2,0,0,0,CHE,27,08/03/2021,FWD,False
