Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,90,2,9,0,4,0,0,0,0,6,6,15.0,06/03/2021
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,90,7,3,2,2,0,0,0,0,14,14,6.4,06/03/2021
"Bogle  Jayden Bogle (Sheffield United, Defender)",SHU,4.3,90,5,2,0,0,0,0,0,1,-1,-1,0.0,06/03/2021
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,68,5,1,0,0,0,1,1,0,7,7,9.7,06/03/2021
"Bryan (Kean)  Kean Bryan (Sheffield United, Defender)",SHU,3.9,90,9,8,1,2,0,0,0,1,14,14,6.4,06/03/2021
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,90,8,2,0,2,1,1,2,4,15,15,6.0,06/03/2021
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,90,7,2,4,4,1,0,1,0,17,17,5.3,06/03/2021
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,45,0,2,0,0,0,0,0,0,-1,-1,0.0,06/03/2021
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,58,4,0,0,0,0,0,1,2,0,0,0.0,06/03/2021
"Mousset  Lys Mousset (Sheffield United, Forward)",SHU,5.8,32,1,0,0,0,0,0,0,0,-2,-2,0.0,06/03/2021
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,45,3,3,0,0,0,0,0,0,4,4,11.3,06/03/2021
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,90,6,0,0,0,0,0,0,0,18,18,5.0,06/03/2021
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,22,1,0,0,0,0,0,0,1,4,4,5.5,06/03/2021
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,90,5,2,1,0,1,0,1,1,7,7,12.9,06/03/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,77,3,0,1,0,0,0,1,1,26,2,38.5,06/03/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,90,9,3,3,2,0,0,4,2,23,14,6.4,06/03/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,4,12,0,0,0,0,0,0,23,11,8.2,06/03/2021
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,90,4,3,1,4,0,1,1,0,31,19,4.7,06/03/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,90,5,1,0,4,0,0,2,0,10,10,9.0,06/03/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,2,0,0,0,0,0,0,0,0,2,2,1.0,06/03/2021
"Forster  Fraser Forster (Southampton, Goalkeeper)",SOU,4.5,90,9,3,0,0,0,0,0,0,26,14,6.4,06/03/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,13,0,0,0,0,0,0,0,0,3,3,4.3,06/03/2021
"Minamino  Takumi Minamino (Southampton, Midfielder)",SOU,5.5,88,5,3,1,0,0,1,1,2,10,10,8.8,06/03/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,13,0,0,0,0,0,0,0,0,2,2,6.5,06/03/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,77,3,0,0,0,0,0,0,0,8,-1,0.0,06/03/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,90,2,7,0,4,0,0,0,1,23,11,8.2,06/03/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,90,8,2,0,4,1,0,1,3,27,15,6.0,06/03/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,6,1,1,6,0,0,0,2,36,15,6.0,06/03/2021
