Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,90,4,1,0,0,0,0,0,1,-3,-3,0.0,07/03/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,74,2,2,0,0,0,0,0,1,27,3,24.7,07/03/2021
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,90,6,2,2,2,0,0,0,0,9,9,10.0,07/03/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,45,2,0,0,0,0,0,0,1,1,1,45.0,07/03/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,6,0,0,0,0,0,0,0,10,10,9.0,07/03/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,6,5,1,4,0,0,0,0,15,15,6.0,07/03/2021
"Mateta  Jean-Philippe Mateta (Crystal Palace, Forward)",CRY,5.5,16,0,0,0,0,0,0,0,0,1,1,16.0,07/03/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,90,4,1,0,4,1,1,2,0,20,11,8.2,07/03/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,90,6,2,2,4,0,0,0,0,7,7,12.9,07/03/2021
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,25,3,1,1,0,0,0,1,2,7,7,3.6,07/03/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,65,4,1,1,0,1,0,1,1,6,6,10.8,07/03/2021
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,90,4,2,0,6,0,0,0,2,16,16,5.6,07/03/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,90,7,4,2,2,0,0,0,3,17,17,5.3,07/03/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,45,1,0,0,0,0,0,0,1,-4,-4,0.0,07/03/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,3,4,0,4,0,0,0,0,12,12,7.5,07/03/2021
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,10,1,0,0,0,0,0,0,0,-1,-1,0.0,07/03/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,70,5,2,0,4,2,1,4,2,62,23,3.0,07/03/2021
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,90,3,5,1,6,2,0,3,0,22,13,6.9,07/03/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,10,3,2,4,0,0,0,1,17,17,5.3,07/03/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,80,5,2,0,2,0,2,3,1,84,18,4.4,07/03/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,20,1,0,4,0,0,0,0,2,12,12,1.7,07/03/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,6,0,0,0,0,0,0,0,9,9,10.0,07/03/2021
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,90,7,7,0,2,1,0,0,2,14,14,6.4,07/03/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,90,10,3,3,4,0,0,0,1,11,11,8.2,07/03/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,20,0,1,0,0,0,0,0,0,3,3,6.7,07/03/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,5,1,0,4,0,1,1,1,18,9,10.0,07/03/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,2,8,0,6,0,0,0,0,15,15,6.0,07/03/2021
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,70,3,2,0,4,0,0,0,1,12,12,5.8,07/03/2021
