Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,1,90,0,0,0,0,0,0,0,4,0,1,0,TOT,27,07/03/2021,FWD,False
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,1,74,0,1,1,0,0,0,0,3,0,0,0,TOT,27,07/03/2021,FWD,False
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,1,90,0,0,0,0,0,0,0,4,0,1,0,TOT,27,07/03/2021,DEF,False
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,1,45,0,1,0,0,0,0,0,1,0,0,0,TOT,27,07/03/2021,MID,False
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,27,07/03/2021,GKP,False
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,27,07/03/2021,MID,False
"Mateta  Jean-Philippe Mateta (Crystal Palace, Forward)",CRY,5.5,0,16,1,0,0,0,0,0,0,1,0,0,0,TOT,27,07/03/2021,FWD,False
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,1,90,0,0,0,1,0,1,0,4,0,0,0,TOT,27,07/03/2021,MID,False
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,1,90,0,0,0,0,0,0,0,4,0,1,0,TOT,27,07/03/2021,MID,False
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,0,25,1,0,0,0,0,0,0,1,0,0,0,TOT,27,07/03/2021,MID,False
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,1,65,0,1,0,0,0,0,0,3,0,0,0,TOT,27,07/03/2021,MID,False
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,27,07/03/2021,DEF,False
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,1,90,0,0,0,0,0,0,0,4,0,0,0,TOT,27,07/03/2021,DEF,False
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,0,45,1,0,0,0,0,0,0,3,0,0,0,TOT,27,07/03/2021,MID,False
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,DEF,True
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,0,10,1,0,0,0,0,0,0,0,0,1,0,CRY,27,07/03/2021,FWD,True
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,1,70,0,1,2,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,MID,True
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,1,0,1,0,1,0,1,0,CRY,27,07/03/2021,DEF,True
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,MID,True
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,80,0,1,2,2,0,2,0,1,0,0,0,CRY,27,07/03/2021,FWD,True
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,0,20,1,0,0,0,0,0,0,0,0,0,0,CRY,27,07/03/2021,MID,True
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,GKP,True
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,DEF,True
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,MID,True
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,0,20,1,0,0,0,0,0,0,0,0,0,0,CRY,27,07/03/2021,MID,True
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,90,0,0,0,1,0,1,0,1,0,0,0,CRY,27,07/03/2021,MID,True
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,DEF,True
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,1,70,0,1,0,0,0,0,0,1,0,0,0,CRY,27,07/03/2021,MID,True
