Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cedric  Cedric Ricardo Alves Soares (Arsenal, Defender)",ARS,4.5,90,8,1,2,4,0,0,0,0,10,10,9.0,14/03/2021
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,13,1,0,0,0,0,0,0,0,2,2,6.5,14/03/2021
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,2,1,0,0,0,0,0,0,0,3,3,0.7,14/03/2021
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,88,1,0,1,0,0,0,0,2,29,2,44.0,14/03/2021
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,90,11,0,0,0,0,0,0,0,13,13,6.9,14/03/2021
"Luiz  David Luiz Moreira Marinho (Arsenal, Defender)",ARS,5.4,90,2,7,1,4,0,0,0,0,14,14,6.4,14/03/2021
"Odegaard  Martin Odegaard (Arsenal, Midfielder)",ARS,5.6,90,5,2,0,6,0,0,2,0,31,13,6.9,14/03/2021
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,90,7,1,1,2,0,0,2,2,12,12,7.5,14/03/2021
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,45,4,1,0,0,0,0,0,0,2,2,22.5,14/03/2021
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,45,0,0,0,0,1,0,1,0,1,1,45.0,14/03/2021
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,77,6,1,0,6,0,1,4,2,19,19,4.1,14/03/2021
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,90,3,1,0,4,1,0,2,2,23,14,6.4,14/03/2021
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,90,9,4,1,6,0,0,0,0,11,11,8.2,14/03/2021
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,90,6,1,0,4,0,0,0,1,12,12,7.5,14/03/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,5,7,1,6,0,0,0,0,17,17,5.3,14/03/2021
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,28,1,0,1,0,0,0,0,2,7,7,4.0,14/03/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,57,1,0,0,0,0,0,0,0,1,1,57.0,14/03/2021
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,90,3,4,0,4,0,0,0,1,11,11,8.2,14/03/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,6,5,2,4,0,0,1,0,15,15,6.0,14/03/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,1,0,1,0,1,0,0,0,6,6,15.0,14/03/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,57,1,0,1,0,0,0,0,1,2,-16,0.0,14/03/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,9,2,0,0,0,0,0,0,12,12,7.5,14/03/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,62,3,1,0,0,0,0,0,3,5,5,12.4,14/03/2021
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,90,6,2,2,4,0,0,0,0,13,13,6.9,14/03/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,90,6,2,0,2,0,0,2,4,20,11,8.2,14/03/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,33,1,0,0,0,0,0,0,0,2,2,16.5,14/03/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,19,1,0,0,0,0,0,0,0,1,1,19.0,14/03/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,5,9,3,4,0,0,0,1,14,14,6.4,14/03/2021
