Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Gudmundsson  Johann Berg Gudmundsson (Burnley, Midfielder)",BUR,5.5,0,0.09,-0.09,733.3,0,0.11,-0.11,600.0,0.2,-0.2,330.0,13/03/2021
"Brady  Robert Brady (Burnley, Midfielder)",BUR,5.0,0,0.0,0.0,inf,0,0.05,-0.05,480.0,0.05,-0.05,480.0,13/03/2021
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,0,0.03,-0.03,3000.0,0,0.12,-0.12,750.0,0.15,-0.15,600.0,13/03/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,13/03/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,0,0.14,-0.14,642.9,1,0.12,0.88,750.0,0.26,0.74,346.2,13/03/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,0,0.0,0.0,inf,0,0.18,-0.18,500.0,0.18,-0.18,500.0,13/03/2021
"Pieters  Erik Pieters (Burnley, Defender)",BUR,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/03/2021
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/03/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,0,0.0,0.0,inf,0,0.05,-0.05,240.0,0.05,-0.05,240.0,13/03/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/03/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,1,0.09,0.91,866.7,0,0.08,-0.08,975.0,0.17,0.83,458.8,13/03/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,0,0.07,-0.07,1285.7,0,0.02,-0.02,4500.0,0.09,-0.09,1000.0,13/03/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,0,0.01,-0.01,9000.0,1,0.09,0.91,1000.0,0.1,0.9,900.0,13/03/2021
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.05,-0.05,1800.0,1,1.02,-0.02,88.2,1.07,-0.07,84.1,13/03/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,0,0.01,-0.01,1700.0,0,0.06,-0.06,283.3,0.07,-0.07,242.9,13/03/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,1,0.42,0.58,157.1,0,0.03,-0.03,2200.0,0.45,0.55,146.7,13/03/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,0,0.46,-0.46,195.7,0,0.0,0.0,inf,0.46,-0.46,195.7,13/03/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/03/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,0,0.01,-0.01,7300.0,0,0.0,0.0,inf,0.01,-0.01,7300.0,13/03/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.14,-0.14,642.9,0,0.05,-0.05,1800.0,0.19,-0.19,473.7,13/03/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.03,-0.03,3000.0,0,0.17,-0.17,529.4,0.2,-0.2,450.0,13/03/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,0,0.08,-0.08,300.0,0,0.0,0.0,inf,0.08,-0.08,300.0,13/03/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,0,0.19,-0.19,473.7,0,0.0,0.0,inf,0.19,-0.19,473.7,13/03/2021
"João Virgínia  João Manuel Neves Virgínia (Everton, Goalkeeper)",EVE,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/03/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/03/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,0,0.17,-0.17,529.4,0,0.06,-0.06,1500.0,0.23,-0.23,391.3,13/03/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.04,-0.04,2250.0,0,0.12,-0.12,750.0,0.16,-0.16,562.5,13/03/2021
