Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,DEF,True
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,DEF,True
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,DEF,True
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,GKP,True
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,1,80,0,1,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,MID,True
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,1,73,0,1,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,MID,True
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,1,63,0,1,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,MID,True
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,MID,True
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,0,27,1,0,0,0,0,0,0,0,0,0,0,MCI,28,13/03/2021,FWD,True
"Onomah  Josh Onomah (Fulham, Midfielder)",FUL,4.6,0,17,1,0,0,0,0,0,0,0,0,0,0,MCI,28,13/03/2021,MID,True
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,MID,True
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,0,10,1,0,0,0,0,0,0,0,0,0,0,MCI,28,13/03/2021,DEF,True
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,DEF,True
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,0,3,0,0,0,MCI,28,13/03/2021,MID,True
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,1,90,0,0,1,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,FWD,False
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,1,90,0,0,0,1,0,1,1,0,0,0,0,FUL,28,13/03/2021,DEF,False
"Garcia  Eric Garcia (Manchester City, Defender)",MCI,4.7,0,15,1,0,0,0,0,0,0,0,0,0,0,FUL,28,13/03/2021,DEF,False
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,1,75,0,1,0,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,DEF,False
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,MID,False
"Laporte  Aymeric Laporte (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,DEF,False
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,0,23,1,0,0,0,0,0,0,0,0,0,0,FUL,28,13/03/2021,DEF,False
"Mendy (Benjamin)  Benjamin Mendy (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,DEF,False
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,GKP,False
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,1,90,0,0,1,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,DEF,False
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,1,90,0,0,0,0,1,1,1,0,0,0,0,FUL,28,13/03/2021,MID,False
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,1,67,0,1,0,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,MID,False
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,1,90,0,0,1,0,0,0,1,0,0,0,0,FUL,28,13/03/2021,FWD,False
