Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,DEF,False
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,DEF,False
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,DEF,False
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,MID,False
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,MID,False
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,0,11,1,0,0,0,0,0,0,0,0,0,0,LEE,28,13/03/2021,MID,False
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,22,1,0,0,0,0,0,0,0,0,0,0,LEE,28,13/03/2021,DEF,False
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,MID,False
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,GKP,False
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,79,0,1,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,MID,False
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,1,68,0,1,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,MID,False
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,DEF,False
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,21,1,0,0,0,0,0,0,0,0,0,0,LEE,28,13/03/2021,FWD,False
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,1,69,0,1,0,0,0,0,1,0,0,0,0,LEE,28,13/03/2021,MID,False
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,1,90,0,0,0,0,0,0,1,0,0,1,0,CHE,28,13/03/2021,DEF,True
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,DEF,True
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,35,0,1,0,0,0,0,0,0,0,0,0,CHE,28,13/03/2021,FWD,True
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,0,26,1,0,0,0,0,0,0,0,0,0,0,CHE,28,13/03/2021,MID,True
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,DEF,True
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,MID,True
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,1,64,0,1,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,MID,True
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,0,11,1,0,0,0,0,0,0,0,0,0,0,CHE,28,13/03/2021,MID,True
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,DEF,True
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,GKP,True
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,0,44,1,1,0,0,0,0,0,0,0,1,0,CHE,28,13/03/2021,FWD,True
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,MID,True
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,CHE,28,13/03/2021,MID,True
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,28,13/03/2021,DEF,True
