Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,1,0.38,0.62,118.4,0,0.0,0.0,inf,0.38,0.62,118.4,14/03/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,0,0.04,-0.04,1125.0,0,0.06,-0.06,750.0,0.1,-0.1,450.0,14/03/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,14/03/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,0,0.01,-0.01,9000.0,0,0.58,-0.58,155.2,0.59,-0.59,152.5,14/03/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,14/03/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,0,0.85,-0.85,105.9,3,1.88,1.12,47.9,2.73,0.27,33.0,14/03/2021
"Leshabela  Thakgalo Leshabela (Leicester City, Midfielder)",LEI,4.4,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,1,0.03,0.97,3000.0,0,0.0,0.0,inf,0.03,0.97,3000.0,14/03/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,0.1,-0.1,810.0,1,0.21,0.79,385.7,0.31,0.69,261.3,14/03/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,14/03/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,0,0.13,-0.13,692.3,0,0.07,-0.07,1285.7,0.2,-0.2,450.0,14/03/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,2,0.93,1.07,96.8,0,1.18,-1.18,76.3,2.11,-0.11,42.7,14/03/2021
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,14/03/2021
"Bryan (Kean)  Kean Bryan (Sheffield United, Defender)",SHU,3.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,0,0.0,0.0,inf,0,0.1,-0.1,630.0,0.1,-0.1,630.0,14/03/2021
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,14/03/2021
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Mousset  Lys Mousset (Sheffield United, Forward)",SHU,5.8,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Ndiaye  Iliman Ndiaye (Sheffield United, Midfielder)",SHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,0,0.02,-0.02,3950.0,0,0.0,0.0,inf,0.02,-0.02,3950.0,14/03/2021
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/03/2021
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,14/03/2021
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,14/03/2021
