Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,DEF,True
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,1,72,0,1,0,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,DEF,True
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,1,90,0,0,1,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,DEF,True
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,GKP,True
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,MID,True
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,1,90,0,0,0,0,0,0,0,2,0,1,0,LEE,29,19/03/2021,MID,True
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,0,27,1,0,0,0,0,0,0,0,0,1,0,LEE,29,19/03/2021,MID,True
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,1,90,0,0,0,1,0,1,0,2,0,0,0,LEE,29,19/03/2021,MID,True
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,1,45,0,1,0,0,0,0,0,1,0,0,0,LEE,29,19/03/2021,FWD,True
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,0,45,1,0,0,0,0,0,0,1,0,0,0,LEE,29,19/03/2021,FWD,True
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,1,63,0,1,0,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,MID,True
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,DEF,True
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,0,18,1,0,0,0,0,0,0,0,0,0,0,LEE,29,19/03/2021,DEF,True
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,29,19/03/2021,MID,True
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,DEF,False
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,DEF,False
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,77,0,1,1,1,0,1,0,1,0,1,0,FUL,29,19/03/2021,FWD,False
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,DEF,False
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,1,90,0,0,1,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,MID,False
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,1,90,0,0,0,1,0,1,0,1,0,0,0,FUL,29,19/03/2021,MID,False
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,0,13,1,0,0,0,0,0,0,0,0,0,0,FUL,29,19/03/2021,MID,False
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,FUL,29,19/03/2021,DEF,False
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,DEF,False
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,GKP,False
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,FUL,29,19/03/2021,MID,False
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,1,89,0,1,0,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,MID,False
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,FUL,29,19/03/2021,DEF,False
