Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,5,6,0,4,2,0,2,0,27,15,6.0,21/09/2020
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,28,2,1,0,0,0,0,1,0,3,3,9.3,21/09/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,3,0,0,6,0,0,3,2,10,10,9.0,21/09/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,90,1,2,2,0,1,0,3,0,9,9,10.0,21/09/2020
"Hourihane  Conor Hourihane (Aston Villa, Midfielder)",AVL,5.0,62,1,1,0,6,0,0,2,0,13,13,4.8,21/09/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,6,6,1,4,0,0,0,0,44,17,5.3,21/09/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,10,0,0,0,0,0,0,0,38,26,3.5,21/09/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,6,1,0,2,0,0,3,0,6,6,15.0,21/09/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,7,4,0,4,0,0,1,1,35,14,6.4,21/09/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,6,0,0,6,0,0,1,1,15,15,6.0,21/09/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,3,1,1,4,0,0,0,0,18,6,15.0,21/09/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,0,0,0,0,0,0,2,0,0,0,0.0,21/09/2020
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,59,1,7,1,0,0,0,0,1,8,8,7.4,21/09/2020
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,90,4,4,0,0,0,0,0,0,8,8,11.3,21/09/2020
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,68,4,9,1,0,0,0,0,0,11,11,6.2,21/09/2020
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,90,5,4,1,0,0,0,0,1,10,10,9.0,21/09/2020
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,90,1,0,0,0,0,0,0,0,3,3,30.0,21/09/2020
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,12,0,0,1,0,0,0,0,0,-5,-5,0.0,21/09/2020
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,63,4,2,1,0,0,0,0,1,10,10,6.3,21/09/2020
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,90,3,4,0,0,0,0,1,1,-5,-5,0.0,21/09/2020
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,22,0,0,0,0,0,0,1,0,4,4,5.5,21/09/2020
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,31,0,1,0,0,0,0,0,0,1,1,31.0,21/09/2020
"O'Connell  Jack O&#039;Connell (Sheffield United, Defender)",SHU,4.7,90,3,9,0,0,0,0,0,0,11,11,8.2,21/09/2020
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,27,2,0,0,0,0,0,0,0,2,2,13.5,21/09/2020
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,90,8,1,0,0,0,0,0,0,10,10,9.0,21/09/2020
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,90,4,7,0,0,0,0,0,2,11,11,8.2,21/09/2020
