Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,SHU,2,21/09/2020,DEF,True
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,0,28,1,0,0,0,0,0,0,0,0,0,0,SHU,2,21/09/2020,FWD,True
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,2,21/09/2020,MID,True
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,2,21/09/2020,MID,True
"Hourihane  Conor Hourihane (Aston Villa, Midfielder)",AVL,5.0,1,62,0,1,0,0,0,0,1,0,0,0,0,SHU,2,21/09/2020,MID,True
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,1,90,0,0,1,0,0,0,1,0,0,0,0,SHU,2,21/09/2020,DEF,True
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,2,21/09/2020,GKP,True
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,1,90,0,0,0,0,0,0,1,0,0,1,0,SHU,2,21/09/2020,MID,True
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,1,0,1,1,0,0,0,0,SHU,2,21/09/2020,DEF,True
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,2,21/09/2020,MID,True
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,SHU,2,21/09/2020,DEF,True
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,2,21/09/2020,FWD,True
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,0,59,1,0,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,DEF,False
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,DEF,False
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,1,68,0,1,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,DEF,False
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,MID,False
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,MID,False
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,1,12,0,0,0,0,0,0,0,0,0,0,1,AVL,2,21/09/2020,DEF,False
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,1,63,0,1,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,MID,False
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,1,90,0,0,0,0,0,0,0,1,0,1,0,AVL,2,21/09/2020,MID,False
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,0,22,1,0,0,0,0,0,0,0,0,0,0,AVL,2,21/09/2020,FWD,False
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,1,31,0,1,0,0,0,0,0,0,0,0,0,AVL,2,21/09/2020,FWD,False
"O'Connell  Jack O&#039;Connell (Sheffield United, Defender)",SHU,4.7,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,DEF,False
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,0,27,1,0,0,0,0,0,0,0,0,0,0,AVL,2,21/09/2020,MID,False
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,GKP,False
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,2,21/09/2020,DEF,False
