Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,71,0,1,3,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,FWD,True
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,DEF,True
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,DEF,True
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,65,0,1,0,0,0,0,0,2,0,1,0,WBA,2,19/09/2020,MID,True
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,19,1,0,0,0,0,0,0,0,0,0,0,WBA,2,19/09/2020,MID,True
"Kean  Moise Kean (Everton, Forward)",EVE,5.7,0,12,1,0,0,0,0,0,0,0,0,0,0,WBA,2,19/09/2020,FWD,True
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,1,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,DEF,True
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,MID,True
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,DEF,True
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,GKP,True
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,1,78,0,1,1,1,0,1,0,2,0,0,0,WBA,2,19/09/2020,MID,True
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,25,1,0,0,0,0,0,0,0,0,0,0,WBA,2,19/09/2020,MID,True
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WBA,2,19/09/2020,MID,True
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,90,0,0,0,2,1,3,0,2,0,0,0,WBA,2,19/09/2020,FWD,True
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,1,90,0,0,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,DEF,False
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,1,90,0,0,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,DEF,False
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,1,71,0,1,1,1,0,1,0,5,0,0,0,EVE,2,19/09/2020,MID,False
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,1,71,0,1,1,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,MID,False
"Kyle Edwards  Kyle Edwards (West Bromwich Albion, Midfielder)",WBA,4.6,0,19,1,0,0,0,0,0,0,0,0,0,0,EVE,2,19/09/2020,MID,False
"Field  Sam Field (West Bromwich Albion, Midfielder)",WBA,4.8,0,15,1,0,0,0,0,0,0,0,0,0,0,EVE,2,19/09/2020,MID,False
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,1,90,0,0,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,DEF,False
"Gibbs  Kieran Gibbs (West Bromwich Albion, Defender)",WBA,4.3,1,46,0,0,0,0,0,0,0,2,0,0,1,EVE,2,19/09/2020,DEF,False
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,1,90,0,0,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,GKP,False
"Livermore  Jake Livermore (West Bromwich Albion, Midfielder)",WBA,4.7,1,90,0,0,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,MID,False
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,1,90,0,0,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,DEF,False
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,0,19,1,0,0,0,0,0,0,0,0,0,0,EVE,2,19/09/2020,MID,False
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,1,90,0,0,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,FWD,False
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,1,75,0,1,0,0,0,0,0,5,0,0,0,EVE,2,19/09/2020,MID,False
