Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,0,0.0,0.0,inf,0,0.2,-0.2,405.0,0.2,-0.2,405.0,19/09/2020
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,0,0.0,0.0,inf,0,0.03,-0.03,300.0,0.03,-0.03,300.0,19/09/2020
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,19/09/2020
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"Sakho  Mamadou Sakho (Crystal Palace, Defender)",CRY,4.4,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,1,0.14,0.86,535.7,0,0.11,-0.11,681.8,0.25,0.75,300.0,19/09/2020
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,0.02,-0.02,4500.0,1,0.39,0.61,230.8,0.41,0.59,219.5,19/09/2020
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,19/09/2020
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,0,0.12,-0.12,750.0,2,0.92,1.08,97.8,1.04,0.96,86.5,19/09/2020
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,0,0.23,-0.23,391.3,0,0.14,-0.14,642.9,0.37,-0.37,243.2,19/09/2020
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"Fosu-Mensah  Timothy Fosu-Mensah (Manchester United, Defender)",MUN,4.3,0,0.21,-0.21,385.7,0,0.02,-0.02,4050.0,0.23,-0.23,352.2,19/09/2020
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,0,0.07,-0.07,642.9,0,0.3,-0.3,150.0,0.37,-0.37,121.6,19/09/2020
"Ighalo  Odion Ighalo (Manchester United, Forward)",MUN,6.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/09/2020
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,0,0.04,-0.04,1125.0,0,0.05,-0.05,900.0,0.09,-0.09,500.0,19/09/2020
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,0,0.04,-0.04,2250.0,0,0.03,-0.03,3000.0,0.07,-0.07,1285.7,19/09/2020
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,0,0.07,-0.07,1285.7,0,0.03,-0.03,3000.0,0.1,-0.1,900.0,19/09/2020
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,0,0.06,-0.06,1500.0,0,0.1,-0.1,900.0,0.16,-0.16,562.5,19/09/2020
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,0,0.02,-0.02,4500.0,0,0.13,-0.13,692.3,0.15,-0.15,600.0,19/09/2020
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,0,0.05,-0.05,1340.0,0,0.06,-0.06,1116.7,0.11,-0.11,609.1,19/09/2020
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,0,0.06,-0.06,1500.0,0,0.04,-0.04,2250.0,0.1,-0.1,900.0,19/09/2020
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,19/09/2020
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,0,0.02,-0.02,1150.0,1,0.34,0.66,67.6,0.36,0.64,63.9,19/09/2020
