Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,90,5,1,1,6,0,0,1,1,11,11,8.2,20/09/2020
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,89,10,1,1,6,0,0,0,0,3,3,29.7,20/09/2020
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,32,2,2,0,0,0,0,0,0,4,4,8.0,20/09/2020
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,89,2,0,0,0,0,0,1,1,27,3,29.7,20/09/2020
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,6,8,0,4,0,0,0,0,26,14,6.4,20/09/2020
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,0,0,0,0,0,0,1,0,4,4,0.3,20/09/2020
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,12,2,3,0,0,0,0,0,0,3,3,4.0,20/09/2020
"Lamptey  Tariq Lamptey (Brighton and Hove Albion, Defender)",BHA,4.5,58,3,4,0,0,0,0,0,0,12,3,19.3,20/09/2020
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,78,3,0,0,2,0,0,1,0,9,9,8.7,20/09/2020
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,90,3,1,0,0,0,0,1,0,66,6,15.0,20/09/2020
"Mat Ryan  Mathew Ryan (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,9,1,0,0,0,0,0,0,22,10,9.0,20/09/2020
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,90,6,2,0,0,1,1,3,0,19,10,9.0,20/09/2020
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,1,4,0,2,0,0,0,0,21,9,10.0,20/09/2020
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,1,5,0,2,0,0,0,0,21,9,10.0,20/09/2020
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,45,4,1,0,0,2,1,3,0,11,11,4.1,20/09/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,18,0,0,0,0,0,0,0,0,3,3,6.0,20/09/2020
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,45,1,2,0,0,0,0,0,0,1,1,45.0,20/09/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,90,7,0,0,0,0,0,0,0,16,16,5.6,20/09/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,90,2,6,0,4,0,0,0,0,11,11,8.2,20/09/2020
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,57,1,3,0,0,0,0,0,0,3,3,19.0,20/09/2020
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,90,6,1,0,4,0,0,1,0,9,9,10.0,20/09/2020
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,90,1,0,0,0,0,0,0,0,4,4,22.5,20/09/2020
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,90,2,4,0,4,0,0,0,0,6,6,15.0,20/09/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,89,3,3,0,0,0,0,0,0,3,3,29.7,20/09/2020
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,90,5,0,2,4,0,0,0,0,13,13,6.9,20/09/2020
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,33,0,0,1,0,0,0,0,1,0,0,0.0,20/09/2020
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,72,4,2,2,0,0,0,1,1,9,9,8.0,20/09/2020
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,90,1,1,0,0,0,0,0,0,-1,-1,0.0,20/09/2020
