Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,2,20/09/2020,MID,False
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,1,89,0,0,0,0,0,0,1,0,0,0,1,NEW,2,20/09/2020,MID,False
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,0,32,1,0,0,0,0,0,0,0,0,0,0,NEW,2,20/09/2020,DEF,False
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,1,89,0,1,1,0,0,0,1,0,0,0,0,NEW,2,20/09/2020,FWD,False
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,2,20/09/2020,DEF,False
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,1,1,0,0,0,0,0,0,0,0,0,0,NEW,2,20/09/2020,MID,False
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,12,1,0,0,0,0,0,0,0,0,0,0,NEW,2,20/09/2020,MID,False
"Lamptey  Tariq Lamptey (Brighton and Hove Albion, Defender)",BHA,4.5,1,58,0,1,0,0,1,1,0,0,0,0,0,NEW,2,20/09/2020,DEF,False
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,78,0,1,0,0,0,0,1,0,0,0,0,NEW,2,20/09/2020,MID,False
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,1,90,0,0,2,1,0,1,1,0,0,0,0,NEW,2,20/09/2020,FWD,False
"Mat Ryan  Mathew Ryan (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,2,20/09/2020,GKP,False
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,1,90,0,0,0,1,0,1,1,0,0,0,0,NEW,2,20/09/2020,MID,False
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,2,20/09/2020,DEF,False
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,NEW,2,20/09/2020,DEF,False
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,45,1,0,0,0,0,0,0,1,0,0,0,BHA,2,20/09/2020,MID,True
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,18,1,0,0,0,0,0,0,1,0,0,0,BHA,2,20/09/2020,FWD,True
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,1,45,0,1,0,0,0,0,0,2,0,0,0,BHA,2,20/09/2020,FWD,True
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,BHA,2,20/09/2020,GKP,True
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,BHA,2,20/09/2020,DEF,True
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,0,57,1,0,0,0,0,0,0,1,0,0,0,BHA,2,20/09/2020,MID,True
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,BHA,2,20/09/2020,MID,True
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,BHA,2,20/09/2020,MID,True
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,0,3,0,1,0,BHA,2,20/09/2020,DEF,True
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,1,89,0,0,0,0,0,0,0,3,0,1,0,BHA,2,20/09/2020,DEF,True
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,1,90,0,0,0,0,0,0,0,3,0,0,0,BHA,2,20/09/2020,DEF,True
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,1,33,0,1,0,0,0,0,0,2,0,0,0,BHA,2,20/09/2020,MID,True
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,1,72,0,1,0,0,0,0,0,2,0,1,0,BHA,2,20/09/2020,MID,True
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,1,90,0,0,0,0,0,0,0,3,0,0,0,BHA,2,20/09/2020,FWD,True
