Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,1,80,0,1,0,0,0,0,0,4,0,1,0,TOT,2,20/09/2020,FWD,True
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,1,68,0,1,0,0,0,0,0,3,0,0,0,TOT,2,20/09/2020,MID,True
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,1,90,0,0,0,0,0,0,0,5,0,0,0,TOT,2,20/09/2020,DEF,True
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,1,90,0,0,0,0,0,0,0,5,0,1,0,TOT,2,20/09/2020,DEF,True
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,1,90,0,0,0,0,1,1,0,5,0,0,0,TOT,2,20/09/2020,MID,True
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,1,90,0,0,2,0,0,0,0,5,0,0,0,TOT,2,20/09/2020,FWD,True
"Long (Shane)  Shane Long (Southampton, Forward)",SOU,5.1,0,10,1,0,0,0,0,0,0,1,0,0,0,TOT,2,20/09/2020,FWD,True
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,1,90,0,0,0,0,0,0,0,5,0,0,0,TOT,2,20/09/2020,GKP,True
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,1,55,0,1,0,0,0,0,0,2,0,1,0,TOT,2,20/09/2020,MID,True
"Smallbone  William Smallbone (Southampton, Midfielder)",SOU,4.5,0,35,1,0,0,0,0,0,0,3,0,0,0,TOT,2,20/09/2020,MID,True
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,1,90,0,0,0,0,0,0,0,5,0,1,0,TOT,2,20/09/2020,DEF,True
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,0,22,1,0,0,0,0,0,0,2,0,0,0,TOT,2,20/09/2020,MID,True
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,1,90,0,0,0,1,0,1,0,5,0,0,0,TOT,2,20/09/2020,DEF,True
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,1,90,0,0,0,0,0,0,0,5,0,0,0,TOT,2,20/09/2020,MID,True
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,0,6,1,0,0,0,0,0,0,1,0,0,0,SOU,2,20/09/2020,MID,False
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,SOU,2,20/09/2020,DEF,False
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,SOU,2,20/09/2020,DEF,False
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,0,2,0,1,0,SOU,2,20/09/2020,DEF,False
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,SOU,2,20/09/2020,MID,False
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,84,0,1,1,4,0,4,0,1,0,0,0,SOU,2,20/09/2020,FWD,False
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,0,29,1,0,0,0,1,1,0,1,0,0,0,SOU,2,20/09/2020,MID,False
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,SOU,2,20/09/2020,GKP,False
"Lo Celso  Giovani Lo Celso (Tottenham Hotspur, Midfielder)",TOT,6.0,0,45,1,0,0,0,0,0,0,1,0,1,0,SOU,2,20/09/2020,MID,False
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,1,45,0,1,0,0,0,0,0,1,0,1,0,SOU,2,20/09/2020,MID,False
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,1,61,0,1,0,0,0,0,0,1,0,0,0,SOU,2,20/09/2020,MID,False
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,90,0,0,4,0,0,0,0,2,0,0,0,SOU,2,20/09/2020,MID,False
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,SOU,2,20/09/2020,DEF,False
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,SOU,2,20/09/2020,MID,False
