Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aké  Nathan Aké (Manchester City, Defender)",MCI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,1,0.24,0.76,375.0,1,1.12,-0.12,80.4,1.36,0.64,66.2,21/09/2020
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,0,0.05,-0.05,1800.0,1,0.36,0.64,250.0,0.41,0.59,219.5,21/09/2020
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.02,-0.02,4500.0,0.04,-0.04,2250.0,21/09/2020
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,0,0.11,-0.11,818.2,0,0.05,-0.05,1800.0,0.16,-0.16,562.5,21/09/2020
"Mendy (Benjamin)  Benjamin Mendy (Manchester City, Defender)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.03,-0.03,3000.0,0.05,-0.05,1800.0,21/09/2020
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,1,0.22,0.78,372.7,0,0.05,-0.05,1640.0,0.27,0.73,303.7,21/09/2020
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Walker (Kyle)  Kyle Walker (Manchester City, Defender)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,21/09/2020
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,0,0.03,-0.03,3000.0,1,0.21,0.79,428.6,0.24,0.76,375.0,21/09/2020
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,21/09/2020
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Raúl Jiménez  Raul Alonso Jimenez Rodriguez (Wolverhampton Wanderers, Forward)",WOL,7.5,0,0.01,-0.01,9000.0,1,0.16,0.84,562.5,0.17,0.83,529.4,21/09/2020
"Marçal  Fernando Marçal de Oliveira (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.18,-0.18,433.3,0,0.0,0.0,inf,0.18,-0.18,433.3,21/09/2020
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,0,0.04,-0.04,1950.0,0,0.1,-0.1,780.0,0.14,-0.14,557.1,21/09/2020
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,1,0.14,0.86,642.9,0,0.19,-0.19,473.7,0.33,0.67,272.7,21/09/2020
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Rúben Vinagre  Rúben Gonçalo Silva Nascimento Vinagre (Wolverhampton Wanderers, Defender)",WOL,4.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,0,0.15,-0.15,600.0,0,0.0,0.0,inf,0.15,-0.15,600.0,21/09/2020
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,0,0.02,-0.02,4500.0,0,0.08,-0.08,1125.0,0.1,-0.1,900.0,21/09/2020
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/09/2020
