Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cedric  Cedric Ricardo Alves Soares (Arsenal, Defender)",ARS,4.5,44,1,1,0,0,0,0,0,2,4,4,11.0,03/04/2021
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,77,4,4,0,0,1,0,2,0,10,10,7.7,03/04/2021
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,58,2,4,0,2,0,0,0,0,4,4,14.5,03/04/2021
"Chambers  Calum Chambers (Arsenal, Defender)",ARS,4.5,90,3,5,0,0,0,0,0,1,7,7,12.9,03/04/2021
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,32,4,0,0,0,0,0,0,0,3,3,10.7,03/04/2021
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,90,3,5,0,4,0,0,0,0,11,11,8.2,03/04/2021
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,90,1,2,0,0,0,0,0,0,1,1,90.0,03/04/2021
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,90,5,0,0,0,0,0,0,0,15,15,6.0,03/04/2021
"Gabriel Martinelli  Gabriel Teodoro Martinelli Silva (Arsenal, Midfielder)",ARS,5.5,13,0,0,0,0,0,0,0,0,3,3,4.3,03/04/2021
"Odegaard  Martin Odegaard (Arsenal, Midfielder)",ARS,5.6,90,4,0,0,6,0,0,0,0,10,10,9.0,03/04/2021
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,90,10,5,0,4,0,0,0,2,17,17,5.3,03/04/2021
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,90,7,0,1,0,0,0,0,1,7,7,12.9,03/04/2021
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,46,3,1,1,0,0,0,0,0,4,4,11.5,03/04/2021
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,90,7,6,0,0,0,0,0,0,4,4,22.5,03/04/2021
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,90,10,0,2,6,0,0,1,0,15,15,6.0,03/04/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,5,3,0,2,2,2,4,1,42,21,4.3,03/04/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,78,3,0,0,4,0,1,1,5,16,16,4.9,03/04/2021
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,84,4,0,0,4,0,0,0,0,22,10,8.4,03/04/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,90,5,1,2,0,0,1,1,3,15,6,15.0,03/04/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,90,4,2,0,4,2,0,1,1,13,13,6.9,03/04/2021
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,90,5,8,0,4,0,0,0,0,25,13,6.9,03/04/2021
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,7,0,0,6,0,0,0,0,30,18,5.0,03/04/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,61,7,2,3,4,2,0,1,0,33,21,2.9,03/04/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,90,5,0,0,2,0,1,1,0,20,2,45.0,03/04/2021
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,5,1,2,4,0,0,0,2,22,13,6.9,03/04/2021
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,29,1,0,0,0,0,0,0,0,37,-2,0.0,03/04/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,12,1,0,0,0,0,0,0,1,3,3,4.0,03/04/2021
"Rhys Williams  Rhys Williams (Liverpool, Defender)",LIV,4.5,6,1,0,0,0,0,0,0,0,3,3,2.0,03/04/2021
